"Add Answer","اضف اجابة"
"Add New Answer","اضف اجابة جديدة"
"Add New Poll","أضف استفتاءا جديدا"
"Answer Title","نص الاجابة"
"Answer Title:","نص الاجابة:"
"Answer with the same title in this poll","تم استخدام اجابة سابقة بنفس هذا النص"
"Are you sure you want to delete it?","هل انت متأكد انك تريد الحذف ؟"
"Assigned Answers","اجابات مخصصة"
"Closed","مغلق"
"Community Poll","استفتاءات المجتمع"
"Date Closed","تاريخ الغلق"
"Date Posted","تاريخ الاضافة"
"Delete Answer","احذف اجابة"
"Delete Poll","احذف استفتاءا"
"Edit Answer '%s'","حرر اجابة'%s'"
"Edit Poll '%s'","حرر استفتاءا '%s'"
"Edit Poll Answer","حرر اجابة فى استفتاء"
"New Poll","استفتاءا جديدا"
"Number of Responses","عدد الاستجابات"
"Poll Answers","اجابات الاستفتاء"
"Poll Information","بيانات الاستفتاء"
"Poll Question","سؤال الاستفتاء"
"Poll information","بيانات الاستفتاء"
"Poll with the same question","استفتاء بنفس الاجابة"
"Save Answer","احفظ الاجابة"
"Save Poll","احفظ الاستفتاء"
"Vote","صوت
Votes Count"""
"Votes Count:","عدد الاصوات:"
