"(Excl. Tax)","(غير شامل الضريبة)"
"(Incl. Tax)","(شامل الضريبة)"
"* Required Fields","* حقول مطلوبة"
"Add New Address","أضف عنوان جديد"
"Add New Condition","إضافة شرط جديد"
"Add to Cart","أضف لسلة التسوق"
"Add to Compare","إضافة إلى المقارنة"
"Add to Wishlist","إضافة إلى قائمة الأمنيات"
"Address","العنوان"
"After Adding a Product Redirect to Shopping Cart","بعد إضافة المنتج إلى سلة التسوق إعادة توجيه"
"Allow Guest Checkout","السماح للزائر بإنهاء عملية الشراء"
"Apply","تطبيق"
"Apply Coupon","استخدام كوبون"
"Are you sure you would like to remove this item from the shopping cart?","هل أنت متأكد من إلغاء هذا العنصر من سلة التسوق؟"
"Back","رجوع"
"Back to Billing Information","العودة إلى بيانات الدفع"
"Back to Select Addresses","العودة الى اختيار عناوين"
"Back to Shipping Information","العودة إلى بيانات الشحن"
"Back to Shopping Cart","العودة إلى سلة التسوق"
"Billing Address","عنوان الفاتورة"
"Billing Information","بيانات الدفع"
"Cancel","إلغاء"
"Cancel Coupon","إلغاء قسيمة الخصم"
"Cannot process the item.","لا يمكن معالجة هذا المنتج."
"Card Verification Number Visual Reference","بطاقه رقم التحقق من الاشارة البصريه"
"Change","تغير"
"Change Billing Address","تغيير عنوان الدفع"
"Checkbox Text","نص مربع خانة الاختيار"
"Checkout","شراء"
"Checkout Conditions","شروط الشراء"
"Checkout Options","خيارات إتمام الدفع"
"Checkout Terms and Conditions","أحكام وقواعد الشراء"
"City","المدينة"
"Clear Shopping Cart","إفراغ سلة التسوق"
"Close","إغلاق"
"Company","الشركة"
"Condition Name","اسم الشرط"
"Configurable Product Image","صورة المنتج القابل للضبط"
"Confirm Password","تأكيد كلمة المرور"
"Content","المحتوى"
"Content Height","ارتفاع المحتوى"
"Content Height (css)","ارتفاع محتوى (css)"
"Continue","استمر"
"Continue Shopping","الاستمرار بالتسوق"
"Continue to Billing Information","الاستمرار إلى بيانات الفاتورة"
"Country","الدولة"
"Create Billing Address","إنشاء عنوان دفع الفاتورة"
"Create Shipping Address","إنشاء عنوان الشحن"
"Customer Information","بيانات العميل"
"Data saving problem","خطأ في حفظ البيانات"
"Default Billing","افتراضي الفواتير"
"Default Shipping","الشحن الافتراضي"
"Delete Condition","حذف حالة"
"Details","التفاصيل"
"Disabled","غير مفعل"
"Display Cart Summary","عرض ملخص سلة التسوق"
"Display item quantities","عرض كميات السلع"
"Display number of items in cart","عرض عدد القطع في سلة التسوق"
"Edit","تعديل"
"Edit Address","تعديل العنوان"
"Edit Billing Address","تعديل عنوان دفع الفاتورة"
"Edit Condition","تعديل الشرط"
"Edit Items","تعديل السلع"
"Edit Shipping Address","تعديل عنوان الشحن"
"Edit Terms and Conditions","تعديل شروط الإستخدام"
"Edit Your Cart","تعديل سلة التسوق"
"Edit item","تعديل المنتج"
"Edit item parameters","تعديل خصائص المنتج"
"Email Address","البريد الإلكتروني"
"Enable Onepage Checkout","تفعيل الشراء في صفحة واحدة"
"Enable Terms and Conditions","تمكين الشروط والأحكام"
"Enabled","تفعيل"
"Enter a New Address","قم بإدخال عنوانا جديدا"
"Estimate Shipping and Tax","تقدير الشحن والضريبة"
"Excl. Tax","غير شامل الضريبة"
"Fax","فاكس"
"Forgot an Item?","مسح منتج؟"
"Forgot your password?","هل نسيت كلمة المرور؟"
"Gift Message","رسالة الاهداء"
"Grand Total:","المجموع الكلي:"
"Grouped Product Image","تجميع صورة المنتج"
"HTML","لغة النص التشعبي"
"ID","التعريف"
"Incl. Tax","شامل الضريبة"
"Items","عناصر"
"Load customer quote error","تحميل خطأ اقتباس العميل"
"Login","تسجيل الدخول"
"Terms and Conditions","الشروط والأحكام"
"Move","إنقل"
"Move to Wishlist","النقل إلى قائمة الأمنيات"
"My Cart","سلة التسوق"
"My Cart Link","وصلة سلتي"
"New Address","عنوان جديد"
"New Condition","حالة جديدة"
"New Terms and Conditions","البنود والشروط الجديدة"
"No Payment Methods","لا يوجد طرق للدفع"
"Order #","رقم الطلب"
"Order Review","مراجعة الطلب"
"Order Success","نجاح طلب الشراء"
"Password","كلمة المرور"
"Payment Failed Email Sender","مرسل البريد الإلكتروني لفشل الدفع"
"Payment Failed Emails","رسائل البريد الإلكتروني لعملية فشل الدفع"
"Payment Failed Template","قالب فشل الدفع"
"Payment Information","معلومات الدفع"
"Payment Method","طريقة الدفع"
"Place Order","إنشاء الطلب"
"Please agree to all Terms and Conditions before placing the order.","الرجاء الموافقة على كل الشروط والأحكام قبل انهاء طلبك."
"Please agree to all the terms and conditions before placing the order.","الرجاء الموافقة على كل الشروط والأحكام قبل انهاء طلبك."
"Please select region, state or province","من فضلك اختر منطقة، ولاية أو محافظة"
"Price","السعر"
"Proceed to Checkout","تاكيد الطلب"
"Product","المنتج"
"Product Name","اسم المنتج"
"Products","المنتجات"
"Qty","الكميّة"
"Qty:","الكمية:"
"Quantity","الكمية"
"Quote Lifetime (days)","اقتبس من العمر (أيام)"
"Remove Item","إزالة سلعة"
"Remove This Item","حذف هذا العنصر"
"Remove item","أزل المنتج"
"Review Order","مراجعة الطلب"
"SKU","رمز المنتج"
"Sales","المبيعات"
"Save Condition","حفظ الشرط"
"Save in address book","حفظ في دفتر العناوين"
"See price before order confirmation.","انظر السعر قبل تأكيد الطلب."
"Select Address","اختيار عنوان"
"Select Addresses","اختيار عناوين"
"Select Shipping Method","اختيار طريقة الشحن"
"Select a shipping address from your address book or enter a new address.","اختر عنوان الشحن من دفتر العناوين، او ادخال عنوان جديد."
"Send Payment Failed Email Copy Method","إرسال البريد الإلكتروني الدفع فشل أسلوب نسخ"
"Send Payment Failed Email Copy To","ارسال دفعة نسخ البريد الإلكتروني إلى فشل"
"Send To","أرسل إلى"
"Separate by "","".","منفصلة بـ ""،""."
"Ship to Multiple Addresses","الشحن إلى عدة عناوين"
"Shipping Address","عنوان الشحن"
"Shipping Information","بيانات الشحن"
"Shipping Method","طريقة الشحن"
"Shipping Methods","طريقة الشحن"
"Shipping To","الشحن إلى"
"Shopping Cart","سلة التسوق"
"Show Content as","إظهار المحتوى كـ"
"State/Province","ولاية/محافظة"
"Status","الحاله"
"Store View","عرض المتجر"
"Street Address","عنوان الشارع"
"Submitting order information...","تقديم بيانات طلب الشراء..."
"Subtotal","الإجمالي"
"Terms and Conditions Information","الشروط والأحكام معلومات"
"Text","نص"
"Thank you for your purchase!","شكراً لطلبكم معنا!"
"The product does not exist.","هذا المنتج غير موجود."
"This condition no longer exists.","هذا الشرط لم يعد موجودا."
"Total","إجمالي"
"Total for this address","مجموع لهذا العنوان"
"Unit Price","سعر الوحدة"
"Update","تحديث"
"Update Cart","تحديث السلة"
"Update Qty &amp; Addresses","تحديث الكمية والعناوين"
"Update Shopping Cart","تحديث سلة التسوق"
"VAT Number","رقم ضريبة القيمة المضافة"
"View Shopping Cart","عرض سلة التسوق"
"What's this?","ما هذا؟"
"You have no items in your shopping cart.","لا يوجد لديك عناصر في سلة التسوق الخاصة بك."
"Zip/Postal Code","الرمز البريدي"
"or","أو"
