"* Required Fields","* حقول مطلوبة"
"ALL GROUPS","جميع المجموعات"
"Account Information","معلومات الحساب"
"Account Sharing Options","خيارات مشاركة الحساب"
"Action","إجراء"
"Add New Address","أضف عنوان جديد"
"Add New Customer","أضف عميل جديد"
"Add New Customer Group","إضافة مجموعة جديدة من العملاء"
"Additional Address Entries","إدخالات عناوين إضافية"
"Address","العنوان"
"Address Book","سجل العناوين"
"Address Information","معلومات العنوان"
"Address Templates","عنوان القالب"
"Addresses","العنوان"
"Admin","المدير"
"All","الكل"
"All Store Views","واجهه جميع المواقع"
"All countries","جميع الدول"
"Always optional.","اختياري دائماً."
"Amount","الكمية"
"Approved","وافق"
"Are you sure you want to delete this address?","هل أنت متأكد أنك تريد حذف هذا العنوان؟"
"Are you sure?","هل أنت متأكد؟"
"Average Sale","متوسط البيع"
"Back","رجوع"
"Bad request.","طلب غير صحيح."
"By Email","عبر البريد الإلكتروني"
"By IP","عبر IP"
"By IP and Email","بواسطة ال IP والبريد الإلكتروني"
"CSV","CSV ملف"
"Cancel","إلغاء"
"Change Billing Address","تغيير عنوان الدفع"
"Change Password","تغيير كلمة المرور"
"Change Shipping Address","تغيير عنوان الشحن"
"City","المدينة"
"Company","الشركة"
"Configure","ضبط"
"Confirm New Password","تأكيد كلمة المرور الجديدة"
"Confirm Password","تأكيد كلمة المرور"
"Confirmed","تم التأكيد"
"Contact Information","بيانات الاتصال"
"Continue Shopping","الاستمرار بالتسوق"
"Country","الدولة"
"Create","إنشاء"
"Create New Account Options","خيارات إنشاء حساب جديد"
"Create Order","إنشاء طلب"
"Create an Account","انشاء حساب"
"Current Password","كلمة المرور الحالية"
"Customer","العميل"
"Customer Configuration","ضبط العميل"
"Customer Group","مجموعات العملاء"
"Customer Groups","مجموعات العملاء"
"Customer Information","بيانات العميل"
"Customer Since","عميل منذ"
"Customer View","عرض العملاء"
"Customers","العملاء"
"Date","التاريخ"
"Date Added","اضافة تاريخ"
"Date of Birth","تاريخ الميلاد"
"Day","يوم"
"Default Addresses","العناوين الافتراضية"
"Default Billing Address","عنوان الدفع الافتراضي"
"Default Group","المجموعة الافتراضية"
"Default Shipping Address","عنوان الشحن الافتراضي"
"Default Welcome Email","البريد الإلكتروني الترحيبي الافتراضي"
"Delete","احذف"
"Delete Customer","حذف عميل"
"Delete Customer Group","حذف مجموعة عملاء"
"Deleted Stores","المتاجر المحذوفة"
"Details","التفاصيل"
"Disabled","غير مفعل"
"Edit","تعديل"
"Edit Account Information","تعديل بيانات الحساب"
"Edit Address","تعديل العنوان"
"Edit Customer Groups","تعديل مجموعات العملاء"
"Edit Group","تعديل مجموعة"
"Email","البريد الإلكتروني"
"Email Address","البريد الإلكتروني"
"Email Sender","مرسل البريد الإلكتروني"
"Email:","البريد الالكترونى:"
"Fax","فاكس"
"First Name","الإسم الأول"
"Forgot Email Template","نسيت البريد الالكتروني للقالب"
"Forgot Password","نسيت كلمة المرور"
"Forgot Your Password?","هل نسيت كلمة المرور؟"
"Gender","النوع"
"General Subscription","القائمة العامة"
"Global","عالمي"
"Group","مجموعة"
"Group Information","بيانات المجموعة"
"Group Name","اسم المجموعة"
"Guest","زائر"
"HTML","لغة النص التشعبي"
"ID","التعريف"
"IP Address","عنوان الملكية الفكرية"
"Invalid login or password.","البريد الإلكتروني أو كلمة المرور غير صحيحة."
"Last Activity","اخر نشاط"
"Last Date Subscribed","اخر تاريخ للاشتراك"
"Last Date Unsubscribed","اخر تاريخ لالغاء الاشتراك"
"Last Name","اسم العائلة"
"Lifetime Sales","مبيعات مدى الحياة"
"Login","تسجيل الدخول"
"Login Options","خيارات تسجيل الدخول"
"Month","الشهر"
"My Account","حسابي"
"My Orders","طلباتي"
"Name","اسم"
"Never","مطلقاً"
"New Address","عنوان جديد"
"New Customer","عميل جديد"
"New Customer Group","مجموعة عميل جديدة"
"New Customer Groups","مجموعات العملاء الجديدة"
"New Customers","عميل جديد"
"New Group","مجموعة جديدة"
"New Password","كلمة المرور الجديدة"
"Newsletter","القائمة البريدية"
"Newsletter Information","معلومات القائمة البريدية"
"Newsletter Subscription","الاشتراك بالقائمة البريدية"
"Newsletters","النشرات البريدية"
"No Items Found","لم يتم العثور على عناصر"
"No Newsletter Found","لا يوجد قائمة بريدية"
"No item specified.","ولا عنصر المحدد."
"Not Sent","غير مرسلة"
"Offline","غير متصل"
"Online","متصل"
"Online Customers","مستخدمين متصلين"
"Order #","رقم الطلب"
"Order Total","إجمالي الطلب"
"Orders","الطلبات"
"Password","كلمة المرور"
"Password Options","خيارات كلمة المرور"
"Password forgotten","نسيت كلمة السر"
"Password:","الرقم السري:"
"Paused","توقف مؤقت"
"Pending","في إنتظار المُراجعة"
"Per Website","لكل موقع"
"Personal Information","المعلومات الشخصية"
"Please enter a number 1 or greater in this field.","الرجاء إدخال رقم 1 أو أكبر في هذا الحقل."
"Please enter the city.","رجاء إدخال المدينة."
"Please enter the country.","الرجاء إدخال الدولة."
"Please enter the first name.","الرجاء ادخال الاسم الاول."
"Please enter the last name.","الرجاء ادخال الاسم الاخير."
"Please enter the street.","رجاء إدخال الشارع."
"Please enter the zip/postal code.","الرجاء إدخال الرمز البريدي."
"Please enter your email.","الرجاء ادخال بريدك الالكتروني."
"Please make sure your passwords match.","رجاء تاكد من ان الرقم السري يتطابق."
"Please select region, state or province","من فضلك اختر منطقة، ولاية أو محافظة"
"Price","السعر"
"Product","المنتج"
"Product ID","الرمز التعريفي للمنتج"
"Product Name","اسم المنتج"
"Product Reviews","مراجعات المنتج"
"Qty","الكميّة"
"Recent Orders","الطلبات الأخيرة"
"Recovery Link Expiration Period (hours)","عمر الصلاحية لرابط الاسترداد (ساعات)"
"Redirect Customer to Account Dashboard after Logging in","إعادة توجيه العملاء إلى لوحة تحكم الحساب بعد تسجيل الدخول"
"Refunded","اعادة ايجاد"
"Registered Customers","الأعضاء المسجلين"
"Remove","ازالة"
"Reset a Password","إعادة تعيين كلمة المرور"
"SKU","رمز المنتج"
"Sales Statistics","إحصائيات المبيعات"
