"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Внимание</strong>: Captcha различава малки иглавни букви."
"After number of attempts to login","След брой неуспешни опити за логване"
"Always","Винаги"
"CAPTCHA Timeout (minutes)","CAPTCHA изчакване (минути)"
"Case Sensitive","Различава малки и главни букви"
"Displaying Mode","Показване на режим"
"Enable CAPTCHA in Admin","Разреши CAPTCHA в администратративната част"
"Font","Шрифт"
"Forms","Форми"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Ако указаното е 0, формуляра CAPTCHA за влизане ще бъде винаги достъпен."
"Incorrect CAPTCHA.","Неправилен CAPTCHA."
"Number of Symbols","Брой символи"
"Number of Unsuccessful Attempts to Login","Брой неуспешни опити за влизане"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Моля, посочете най-малко 8 символа. Разрешен диапазон (например 3-5)"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Моля, използвайте само букви (а-я или А-Я) или цифри (0-9) в това поле. Без интервали или други знаци < br / > подобни търсят знаци (например ""и"", ""И"") намалява шанса за правилно разпознаване от клиента."
"Reload captcha","Презареди изображението"
"Symbols Used in CAPTCHA","Символи, използвани в CAPTCHA"
