"-- Please Select --","-- Моля изберете --"
"Add New Class","Добавяне на нов клас"
"Add New Tax Rate","Добавяне на нова данъчна ставка"
"Add New Tax Rule","Добавяне на ново правило за данък"
"After Discount","След отстъпка"
"Apply Customer Tax","Приложи клиент данък"
"Apply Discount On Prices","Прилагане на отстъпка върху цените"
"Apply Tax On","Приложи данък върху"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Back","Обратно"
"Before Discount","Преди отстъпка"
"Calculation Settings","Изчисляване настройки"
"Catalog Prices","Каталог цени"
"Class Name","Име на клас"
"Code","Код"
"Country","Държава"
"Custom price if available","Потребителски цена, ако е налична"
"Customer Tax Class","Данък за класификация на клиент"
"Customer Tax Class Information","Информация за клиентски данъчен клас"
"Customer Tax Classes","Данъчни категории клиенти"
"Default Country","Държава по подразбиране"
"Default Post Code","По подразбиране пощенски код"
"Default State","Състояние по подразбиране"
"Default Tax Destination Calculation","По подразбиране дестинация изчисление"
"Delete Class","Иззтрий клас"
"Delete Rate","Изтриване на курс"
"Delete Rule","Изтрий правилото"
"Display Full Tax Summary","Показване на общата сума с данък"
"Display Prices","Показване на цени"
"Display Product Prices In Catalog","Показване на цените на продуктите в каталога"
"Display Shipping Amount","Показване на сумата за доставка"
"Display Shipping Prices","Покажи цени доставка"
"Display Subtotal","Показване на междинни суми"
"Display Zero Tax Subtotal","Показване на нулев данък междинна сума"
"Edit Class","Редактирай клас"
"Edit Class '%s'","Редакция на клас '%s'"
"Edit Rule","Промени правило"
"Edit Tax Rate","Редактиране на данъчна ставка"
"Enable Cross Border Trade","Разреши трансграничната търговия"
"Excl. Tax","Без вкл. ДДС"
"Excl. Tax:","Без данък:"
"Excluding Tax","Без данък"
"Export Tax Rates","Експортиране на данъчните ставки"
"Grand Total (Excl. Tax)","Обща сума (без ДДС)"
"Grand Total (Excl.Tax)","Обща сума (Без ДДС)"
"Grand Total (Incl. Tax)","Обща сума (С ДДС)"
"Grand Total (Incl.Tax)","Обща сума (Вкл ДДС)"
"Grand Total Excl. Tax","Обща сума (Без ДДС)"
"Grand Total Incl. Tax","Обща сума (С ДДС)"
"Import / Export Tax Rates","Импортиране / Експортиране на ставки"
"Import Tax Rates","Импортиране на данъчните ставки"
"Inc. Tax","Вкл. ДДС"
"Incl. Tax","Вкл. Ддс"
"Incl. Tax:","С вкл. данък:"
"Including Tax","С данък"
"Including and Excluding Tax","Със и без данък"
"Invalid file format upload attempt","Опит за качване на невалиден формат на файл"
"Invalid file upload attempt","Невалиден файл качване опит"
"Product Tax Classes","Продуктови данъчни класове"
"Tax Rates","Данъчни ставки"
"Tax Rules","Данъчни правила"
"Name","Име"
"New Class","Нов клас"
"New Rule","Ново правило"
"New Tax Rate","Нова данъчна ставка"
"No","Не"
"None","Не"
"One of the country has invalid code.","Някоя от държавите има невалиден код."
"Orders, Invoices, Credit Memos Display Settings","Настройки за показване на Поръчки, Фактури, Кредитни известия"
"Original price only","Първоначалната цена само"
"Price Display Settings","Настрой в показване на цените"
"Priority","Приоритет"
"Product Tax Class","Продуктов данък клас"
"Product Tax Class Information","Информация за продуктови данъчни класове"
"Range From","Варират от"
"Range To","Нареждам към"
"Range To should be equal or greater than Range From.","Диапазона трябва да бъде равен или по-голям от обхвата."
"Rate","Оцени"
"Rate Percent","Процент %"
"Reset","Изчисти"
"Row Total","Ред общо"
"Sales","Продажби"
"Save Class","Запиши клас"
"Save Rate","Запишете курс"
"Save Rule","Запиши правило"
"Save and Continue Edit","Запази и продължи редактиране"
"Shipping & Handling (Excl.Tax)","Доставка & обработка (Без ДДС)"
"Shipping & Handling (Incl.Tax)","Доставка & обработка (С ДДС)"
"Shipping (Excl. Tax)","Доставка (без ДДС)"
"Shipping (Incl. Tax)","Доставка (с ДДС)"
"Shipping Prices","Цена за доставка"
"Shopping Cart Display Settings","Настройки на показване на количката"
"Sort Order","Ред на сортиране"
"State","Щат"
"State/Region","Държава/регион"
"Subtotal (Excl. Tax)","Междинна сума (без ДДС)"
"Subtotal (Excl.Tax)","Междинна сума"
"Subtotal (Incl. Tax)","Междинна сума (с ДДС)"
"Subtotal (Incl.Tax)","Междинна сума "
"Tax","Данък"
"Tax Calculation Based On","Изчисляване на данъци, въз основа на"
"Tax Calculation Method Based On","Метод за изчисляване на данък, въз основа на"
"Tax Class for Shipping","Данъчен клас за доставка"
"Tax Classes","Данъчни категории"
"Tax Identifier","Данъчен идентификатор"
"Tax Rate","Данъчна ставка"
"Tax Rate Information","Данъчна ставка информация"
"Tax Rule Information","Данъчна правило информация"
"Tax Titles","Данъчно заглавие"
"Tax rates at the same priority are added, others are compounded.","Данъчни ставки в същия приоритет се добавят, други са съставени."
"The tax rate has been imported.","Данъчната ставка е внесена."
"The tax rule has been deleted.","Правилото на данъка е изтрито."
"This class no longer exists","Този клас вече не съществува"
"This rule no longer exists","Това правило вече не съществува"
"This rule no longer exists.","Това правило вече не съществува."
"Total","Общо"
"Unit Price","Единична цена"
"Yes","Да"
"You cannot delete this tax class as it is used for %d customer groups.","Не е позволено изтриването на този данъчен клас, понеже се използва от %d клиентски групи."
"You cannot delete this tax class as it is used for %d products.","Не е позволено изтриването на този данъчен клас, понеже се използва от %d продукта."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Не е позволено изтриването на този данъчен клас, понеже се използва в данъчни правила. Необходимо е първо да изтриете сътоветните правила."
"Zip/Post Code","Пощенски код"
"Zip/Post is Range","Диапазон от Пощенски кодове"
