"Actions","Accions"
"Active","Actiu"
"Apply","Aplica"
"Attribute Set","Conjunt d'Atributs"
"Catalog","Catàleg"
"Category","Categoria"
"Conditions","Condicions"
"Conditions Combination","Condicions Combinació"
"Customer Groups","Grups de clients"
"Date From","Data des de"
"Date To","Data Fins"
"Description","Descripció"
"Discount Amount","Import de Descompte"
"Expiration Date","Data de caducitat"
"General Information","Informació general"
"Inactive","Inactiu"
"Options","Opcions"
"Product Attribute","Atribut de producte"
"Save and Continue Edit","Desa i continua editant"
"Start Date","Data d'inici"
"Status","Estat"
"Type","Tipus"
"Website","Lloc web"
"Websites","Llocs Web"
"Yes","Si"
