"-- Please Select --","-- Si us plau, seleccioneu --"
"Add Secret Key to URLs","Afegiu clau secreta a les URL"
"Admin Base URL","URL base d'administració"
"Admin User Emails","Adreces de correu d’usuari administrador"
"Advanced","Avançat"
"Allow Countries","Permet països"
"Allow Symlinks","Permetre Symlinks"
"Anchor Text for Next","Text d'ancoratge per a Següent"
"Anchor Text for Previous","Text d'ancoratge per a Anterior"
"Are you sure?","Segur?"
"Back","Torna"
"Backup Options","Opcions de Còpia de Seguretat"
"Base URL","URL Base"
"CSS Settings","Configuració CSS"
"Cache Storage Management","Gestió d'emmagatzematge de caché"
"Cancel","Cancel·la"
"Card type does not match credit card number.","El tipus de targeta no coincideix amb el número de targeta de crèdit."
"Code","Codi"
"Cookie Domain","Domini de la cookie"
"Cookie Lifetime","Vida de la cookie"
"Cookie Path","Ruta de la cookie"
"Cookie Restriction Mode","Mode de restricció de cookies"
"Country","País"
"Create Store","Crear Botiga"
"Create Store View","Crear Vista de Botiga"
"Create Website","Crear Lloc Web"
"Credit card number does not match credit card type.","El número de targeta de crèdit no coincideix amb el tipus de targeta de crèdit."
"Custom Admin Path","Ruta d'administració personalitzada"
"Custom Admin URL","URL d'administració personalitzada"
"Custom Design","Disseny personalitzat"
"Custom Email 1","Correu electrònic personalitzat 1"
"Custom Email 2","Correu electrònic personalitzat 2"
"Customer Support","Atenció al client"
"Dashboard","Panell de contol"
"Date From","Data des de"
"Date To","Data Fins"
"Debug","Depuració"
"Default Country","País predeterminat"
"Default Store","Botiga Predeterminada"
"Default Store View","Vista de Botiga per Defecte"
"Delete","Eliminar"
"Delete Store","Eliminar Botiga"
"Delete Store View","Eliminar Vista de Botiga"
"Design","Disseny"
"Design Change","Canvi de Disseny"
"Developer","Desenvolupador"
"Disable Email Communications","Desactivar comunicacions per correu electrònic"
"Disable Modules Output","Desactiva la sortida dels mòduls"
"Edit Design Change","Modificar Canvi de Disseny"
"Edit Store","Modificar Botiga"
"Edit Store View","Modificar Vista de Botiga"
"Enabled","Habilitat"
"Enabled for Admin","Habilitat per Admin"
"European Union Countries","Països de la Unió Europea"
"First Day of Week","Primer dia de la setmana"
"Flush Cache Storage","Buidar l'emmagatzematge de caché"
"Flush OpenMage Cache","Buidar la caché de OpenMage"
"Footer","Peu de pàgina"
"Forgot Password Email Template","Plantilla de Contrasenya de correu electrònic oblidada"
"General Contact","Contacte General"
"General Settings","Configuració General"
"Header","Capçalera"
"Incorrect credit card expiration date.","Data de caducitat incorrecta de la targeta de crèdit."
"JavaScript Settings","Configuració JavaScript"
"Locale","Configuració regional"
"Locale Options","Opcions de configuració regional"
"Login is Case Sensitive","L’inici de sessió és sensible a majúscules i minúscules"
"Mail Sending Settings","Configuració d'enviament de correu"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Assegureu-vos que l'URL base finalitzi amb '/' (barra), per exemple. http://elvostredomini/magento/"
"Manage Stores","Gestionar Botigues"
"Merge CSS Files","Combinar fitxers CSS"
"Merge JavaScript Files","Combinar fitxers JavaScript"
"Name","Nom"
"New Store","Nova Botiga"
"New Store View","Nova Vista de Botiga"
"PHP SOAP extension is required.","L’extensió PHP SOAP és necessària."
"Please enter a number 0 or greater in this field.","Si us plau, introduïu un nombre igual o més gran que 0."
"Please enter a number 1 or greater in this field.","Si us plau, introduïu un número igual o més gran que 1 en aquest camp."
"Please enter a number greater than 0 in this field.","Si us plau, introduïu un nombre més gran que 0."
"Please enter a valid $ amount. For example $100.00.","Introduïu un import € vàlid. Per exemple, 100,00€."
"Please enter a valid credit card number.","Introduïu un número de targeta de crèdit vàlid si us plau."
"Please enter a valid credit card verification number.","Introduïu un número de verificació de targeta de crèdit vàlid si us plau."
"Please enter a valid date.","Si us plau, introduïu una data vàlida."
"Please enter a valid month (1-12).","Si us plau, introduïu un mes vàlid (1-12)."
"Please enter a valid number in this field.","Si us plau, introduïu un número vàlid en aquest camp."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Introduïu un telèfon vàlid si us plau. Per exemple (123) 456-7890 o 123-456-7890."
"Please enter a valid zip code.","Si us plau, introduïu un codi postal vàlid."
"Please enter issue number or start date for switch/solo card type.","Si us plau, introduïu el número d'emissió o la data d'inici per al tipus de targeta de dèbit."
"Please make sure your passwords match.","Si us plau, assegureu-vos que les vostres contrasenyes coincideixin."
"Please select State/Province.","Si us plau, seleccioneu Estat/Província."
"Please select an option.","Seleccioneu una opció si us plau."
"Please select one of the options.","Si us plau, seleccioneu una de les opcions."
