"Availability:","Disponibilitat:"
"Back","Torna"
"Canceled","Cancel·lat"
"Date","Data"
"Delete","Eliminar"
"Edit","Edita"
"Edit item parameters","Edita el paràmetres de l'article"
"Excl. Tax","Impostos exclosos"
"File","Arxiu"
"From:","Des de:"
"In stock","En estoc"
"Incl. Tax","Impostos inclosos"
"Invoiced","Facturat"
"List","Llista"
"Message:","Missatge:"
"My Downloadable Products","Els meus productes descarregables"
"Order #","Comanda #"
"Ordered","Demanat"
"Out of stock","Sense estoc"
"Pending","Pendent"
"Price","Preu"
"Qty","Quantitat"
"Remove","Elimina"
"See price before order confirmation.","Consulteu el preu abans de la confirmació de comanda."
"Shipped","Enviat"
"Sort Order","Criteri d'Ordenació"
"Status","Estat"
"Title","Títol"
"To:","A:"
"Update","Actualitzar"
"Use Default Value","Utilitzar Valor per Defecte"
"View Order","Mostra la comanda"
"What's this?","Què és això?"
"You have not purchased any downloadable products yet.","Encara no has comprat cap producte descarregable."
