"Action","Acció"
"Add to Cart","Afegir a la cistella"
"Add to Compare","Afegir per Comparar"
"Any","Qualsevol"
"Are you sure?","Segur?"
"Bestsellers","Més venuts"
"Customer","Client"
"Customers","Clients"
"Customers Reviews","Ressenyes de clients"
"Dashboard","Panell de contol"
"Day","Dia"
"Description","Descripció"
"Email","Correu electrònic"
"First Name","Nom"
"From","Des de"
"Guest","Convidat"
"Hits","Encerts"
"Items in Cart","Productes a la cistella"
"Last Name","Cognoms"
"Last Review","Darrera Revisió"
"Month","Mes"
"Name","Nom"
"Order Status","Estat de la comanda"
"Orders","Comandes"
"Out of stock","Sense estoc"
"Price","Preu"
"Product Name","Nom del producte"
"Product Reviews","Ressenyes de producte"
"Products","Productes"
"Products Reviews","Ressenyes de productes"
"Refresh Lifetime Statistics","Refrescar estadístiques acumulades"
"Report","Informe"
"Reports","Informes"
"Results","Resultats"
"Revenue","Ingressos"
"Review","Ressenya"
"Reviews","Ressenyes"
"Sales","Vendes"
"Search Query","Consulta de cerca"
"Search Terms","Termes de cerca"
"Shipping","Enviament"
"Shopping Cart","Cistella"
"Tax","Impostos"
"Title","Títol"
"To","Fins"
"Year","Any"
"Yes","Si"
