"%1$s incl tax.","%1$s s daní."
"* Required Fields","* Povinný údaj"
"-- Select --","-- Zvolte udaj --"
"Add New Option","Přidat novou možnost"
"Add Selection","Přidat výběr"
"As Low as","Od"
"As low as","Již od"
"Bundle Items","Položky sestavy"
"Bundle Product","Balení zboží"
"Buy %1$s for %2$s","Koupit %1$s za %2$s kus"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koupit %1$s za %2$s (%3$s s daní) kus"
"Buy %1$s for %2$s each","Koupit %1$s za %2$s kus"
"Buy %1$s with %2$s discount each","Kupte %1$se slevou %2$na každém"
"Checkbox","Zaškrtávací políčko"
"Choose a selection...","Zvolte výběr..."
"Click for price","Kliknutím zobrazíte cenu"
"Close","Zavřít‏"
"Default","Výchozí"
"Default Qty","Výchozí množství"
"Default Title","Výchozí název"
"Drop-down","Rozbalovací výběr"
"Dynamic","Dynamický"
"Excl. Tax","bez DPH"
"Excl. Tax:","Bez daně:"
"Fixed","Pevná"
"From","Od"
"From:","Od:"
"Gift Message","Darovací vzkaz"
"Incl. Tax","s DPH"
"Incl. Tax:","S daní:"
"Input Type","Typ vstupu"
"Is Required","Je vyžadován"
"Message:","Vzkaz:"
"Multiple Select","Vícenásobný výběr"
"N/A","nedefinováno"
"No options of this product are available.","U tohoto produktu nejsou k dispozici žádné možnosti."
"None","Nic"
"Percent","Procenta"
"Percent Discount","Procentuální sleva"
"Please Select Products to Add","Vyberte produkty pro přidání"
"Please enter a number greater 0 in this field.","Do tohoto pole zadejte číslo větší než 0."
"Please enter search conditions to view products.","Zadejte vyhledávací pravidla pro zobrazení produktů."
"Please select options for product.","Zvolte možnosti pro produkt."
"Please specify product option(s).","Zvolte možnosti produktu prosím."
"Position","Pozice"
"Price Range","Cenový rozsah"
"Price Type","Typ ceny"
"Price as configured","Cenový rozsah"
"Qty:","Množství:"
"Radio Buttons","Přepínače"
"SKU","Kód"
"Separately","Odděleně"
"Ship Bundle Items","Doručení sestavy"
"Shipment","Zásilka"
"Store View Title","Název pohledu obchodu"
"This product is also part of bundle(s)","Tento produkt je také součástí balení"
"To","Pro"
"To:","Komu:"
"Together","Společně"
"Total incl. Tax: %1$s","Celkem s daní: %1$s"
"Use Default Value","Použít výchozí hodnotu"
"User Defined Qty","Uživatelem definované množství"
"and","a"
"each","každý"
"save","ušetříte"
