"%s and greater","%s a více"
"Advanced Search","Rozšířené hledání"
"All","Vše"
"Catalog Advanced Search","Rozšířené hledání v katalogu"
"Catalog Search","Hledání v katalogu"
"Don't see what you're looking for?","Nebylo nalezeno to, co hledáte?"
"Go","Jdi"
"Go to Home Page","Na úvodní stránku"
"Grid","Mřížka"
"Home","Úvod"
"List","Seznam"
"Maximum Query Length","Maximální délka hledaného výrazu"
"Maximum Query Words Count","Maximální počet slov v dotazu"
"Minimal Query Length","Minimální délka hledaného výrazu"
"Modify your search","Upravte své vyhledávání"
"No","Ne"
"No items were found using the following search criteria.","Hledaným požadavkům neodpovídá žádná položka."
"Popular Search Terms","Nejvyhledávanější výrazy a hodnoty"
"Rebuild Catalog product fulltext search index","Obnovení indexu fultextového hledání v katalogu"
"Relevance","Význam"
"Results","Výsledky"
"Search","Hledat"
"Search Settings","Hodnoty parametrů hledaných produktů"
"Search Terms","Hledané výrazy"
"Search Type","Hledané typy"
"Search entire store here...","Zadejte hledaný výraz..."
"Search results for '%s'","Výsledky hledání pro '%s'"
"Search results for: '%s'","Výsledky hledání pro: '%s'"
"Subscribe to Feed","Odebírat RSS zdroj"
"There are no search terms available.","K dispozici nejsou žádné hledané termíny."
"Yes","Ano"
"Your search returns no results.","Hledání nenašlo žádné výsledky."
"up to %s","do %s"
