"# of Uses","počet použití"
"Action","Akce"
"Add","Přidat"
"Add New Tag","Přidat nový štítek"
"Add Tags","Přidat štítky"
"Add Your Tags:","Přidejte vaše štítky:"
"Add to Cart","Přidat do košíku"
"Add to Wishlist","Přidat k oblíbeným"
"All Tags","Všechny štítky"
"Approved","Schváleno"
"Are you sure you want to delete this tag?","Určitě chcete tento štítek smazat?"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Back","Zpět"
"Back to Tags List","Zpět na seznam štítků"
"Block Information","Údaje bloku"
"Change status","Změnit stav"
"Click on a tag to view your corresponding products.","Kliknutím na štítek zobrazíte odpovídající produkty"
"Country","Země"
"Customer Since","Zákazníkem od"
"Customers","Zákazníci"
"Customers Tagged '%s'","Štítky od zákazníků '%s'"
"Delete","Smazat"
"Delete Tag","Smazat štítek"
"Disabled","Vypnuto"
"Edit Tag '%s'","Upravit štítek '%s'"
"Email","E-mail"
"First Name","Jméno"
"General Information","Všeobecné informace"
"Grid","Mřížka"
"Last Name","Příjmení"
"List","Seznam"
"My Recent Tags","Moje poslední štítky"
"My Tags","Moje štítky"
"Name","Jméno"
"New Tag","Nový štítek"
"No matches found.","Nebyl nalezen žádný záznam."
"Other people marked this product with these tags:","Ostatní označili tento produkt těmito štítky:"
"Pending","Nevyřízená"
"Pending Tags","Čekající štítky"
"Popular","Oblíbené"
"Popular Tags","Oblíbené štítky"
"Price","Cena"
"Product Name","Název produktu"
"Product SKU","Produkt SKU"
"Product Tags","Štítky produktu"
"Products","Produkty"
"Products Tagged with '%s'","Produkty oštítkované jako '%s'"
"Products tagged with '%s'","Produkty oštítkované jako '%s'"
"Remove","Odstranit"
"SKU","Kód"
"Save Tag","Uložit štítek"
"Save and Continue Edit","Použít"
"Status","Stav"
"Store View","Zobrazení obchodu"
"Tag","Štítek"
"Tag Name","Jméno štítku"
"Tags","Štítky"
"Tags:","Štítky:"
"Telephone","Telefon"
"Unable to find any products tagged with '%s' in the current store","Nenalezen žádný produkt označený štítkem '%s' v tomto obchodě"
"Unable to remove tag. Please, try again later.","Štítek se nepodařilo odstranit. Zkuste to prosím později."
"Update","Aktualizovat"
"Use spaces to separate tags. Use single quotes (') for phrases.","Štítky oddělujte mezerou. Víceslovné uzavřete v apostrofech (')."
"View All Tags","Zobrazit všechny štítky"
"View Customers","Zobrazit zákazníky"
"View Products","Zobrazit produkty"
"You have not tagged any products yet.","Zatím jste neoznačili štítkem žádný produkt"
"ZIP/Post Code","PSČ"
"[STORE VIEW]","[ZOBRAZENÍ]"
