"All Websites","Všechny weby"
"Display Prices In Emails","Zobrazit ceny v e-mailech"
"Display Prices In Product Lists","Zobrazit ceny v seznamech produktů"
"Display Prices In Sales Modules","Zobrazit ceny prodejních modulech"
"Display Prices On Product View Page","Zobrazit ceny na stránce produktu"
"Enable FPT","Zapnout fixní poplatky"
"Excluding FPT","Bez fixního poplatku"
"Excluding FPT, FPT description, final price","Bez FPT, FPT popis, konečná cena"
"Fixed Product Tax","Fixní produktový poplatek"
"Fixed Product Taxes","Fixní produktové poplatky"
"Include FPT In Subtotal","Zahrnout fixní poplatky v mezisoučtu"
"Including FPT and FPT description","S fixním poplatkem včetně popisu"
"Including FPT and FPT description [incl. FPT VAT]","Obsahuje FPT a FPT popis [s FPT daní]"
"Including FPT only","Pouze s fixním poplatkem"
"Total","Celkem"
"Total Incl. Tax","Celkem s DPH"
"Total incl. tax","Celkem s daní"
"Total:","Celkem:"
