"Authorize Only","Kun tillad"
"Authorize and Capture","Tillad og fasthold"
"Continue Shopping","Fortsæt med at shoppe"
"Debug","Fejlsøgning"
"Email Sender","E-mail afsender"
"Enable","Aktivér"
"Merchant ID","Sælger-ID"
"Merchant Login","Forhandler-log ind"
"New Order Status","Nye ordrestatus"
"Payment Action","Betalingshandling"
"Thank you for your purchase!","Tak for dit køb!"
"Title","Titel"
"You will receive an order confirmation email with details of your order and a link to track its progress.","En ordrebekræftelse er blevet sendt til din e-mail-adresse."
