"%1$s incl tax.","%1$s inkl. moms."
"* Required Fields","* Påkrævede felter"
"-- Select --","-- Vælg --"
"Add New Option","Tilføje nye indstilling"
"Add Selection","Tilføj udvalg"
"As Low as","Fra"
"As low as","Fra"
"Bundle Items","Pakkeprodukter"
"Bundle Product","Sammensat produkt"
"Buy %1$s for %2$s","Køb %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Køb %1$s for %2$s (%3$s inkl. moms) pr. styk"
"Buy %1$s for %2$s each","Køb %1$s for %2$s pr. stk."
"Buy %1$s with %2$s discount each","Køb %1$s med %2$s rabat på hver"
"Checkbox","Afkrydsningsfelt"
"Choose a selection...","Vælg et udvalg..."
"Click for price","Klik for pris"
"Close","Luk"
"Default","Standard"
"Default Qty","Standard antal"
"Default Title","Standard overskrift"
"Dynamic","Dynamisk"
"Excl. Tax","Ekskl. moms"
"Excl. Tax:","Ekskl. moms:"
"Fixed","Fast"
"From","Fra"
"From:","Fra:"
"Gift Message","Gavebesked"
"Incl. Tax","Inkl. moms"
"Incl. Tax:","Inkl. moms:"
"Input Type","Input type"
"Is Required","er påkrævet"
"Message:","Besked:"
"Multiple Select","Marker flere"
"No options of this product are available.","Der findes ingen indstillinger for dette produkt."
"None","Ingen"
"Percent","Procent"
"Percent Discount","Procent rabat"
"Please enter a number greater 0 in this field.","Angiv et tal større end 0 i feltet."
"Please enter search conditions to view products.","Indtast søgebetingelser for at vise produkter."
"Please select options for product.","Vælg muligheder for produktet."
"Please specify product option(s).","Angiv produkt indstillingerne."
"Position","Placering"
"Price Range","Pris interval"
"Price Type","Pristype"
"Price as configured","Pris som konfigureret"
"Qty:","Antal:"
"Radio Buttons","Knapper"
"SKU","Varenummer"
"Separately","Separat"
"Ship Bundle Items","Send samlet produkter"
"Shipment","Levering"
"Store View Title","Butiks visningstitel"
"This product is also part of bundle(s)","Dette produkt er også en del af de/det sammensatte produkt(er)"
"To","Til"
"To:","Til:"
"Together","Sammen"
"Total incl. Tax: %1$s","Total inkl. moms: %1$s"
"Use Default Value","Brug standardværdi"
"User Defined Qty","Brugerdefineret antal"
"and","og"
"each","pr. stk."
"save","spar"
