"A block identifier with the same properties already exists in the selected store.","Der findes allerede et gruppe-id med de samme egenskaber i den valgte butik."
"Action","Handling"
"Add New Block","Tilføj ny blok"
"Add New Page","Tilføj ny side"
"All Countries","Alle Lande"
"Block","Blok"
"Block Information","Blok oplysninger"
"Block Title","Blok titel"
"CMS Home Page","CMS hjemmeside"
"CMS No Cookies Page","CMS ingen Cookies side"
"CMS No Route Page","CMS uden rute side"
"CMS Page","CMS side"
"CMS Page Link","CMS sidelink"
"CMS Page Link Block Template","CMS side link blok skabelon"
"CMS Page Link Inline Template","CMS side Link indbygget skabelon"
"CMS Static Block","CMS statisk blok"
"CMS Static Block Default Template","CMS statisk blok standardskabelon"
"Collapse All","Skjul alle"
"Content","Indhold"
"Content Heading","Indholds overskrift"
"Content Management","Indholdsstyring"
"Contents of a Static Block","Indholdet af en statisk blok"
"Custom Design","Brugerdefineret Design"
"Custom Layout","Brugerdefinerede Layout"
"Custom Theme","Brugerdefinerede tema"
"Customer Tax Class Information","Gruppe - detaljer"
"Date Created","Oprettet den"
"Delete Block","Slet blok"
"Delete File","Slet fil"
"Delete Folder","Slet mappe"
"Delete Page","Slet side"
"Description","Beskrivelse"
"Disabled","Slået fra"
"Disabled Completely","Helt deaktiveret"
"Disabled by Default","Deaktiveret som standard"
"Edit Block","Rediger blok"
"Edit Block '%s'","Rediger Blok '%s'"
"Edit Page","Rediger side"
"Edit Page '%s'","Rediger side '%s'"
"Enable WYSIWYG Editor","Aktivér WYSIWYG Editor"
"Enabled","Aktiveret"
"Enabled by Default","Aktiveret som standard"
"Expand All","Vis alle"
"General Information","Generelle informationer"
"Go to Home Page","Gå til forsiden"
"Home","Forsiden"
"Identifier","Identifikator"
"If empty, the Page Title will be used","Hvis blank, vil sidens titel blive brugt"
"Insert File","Indsæt fil"
"Keywords","Nøgleord"
"Last Modified","Sidst redigeret"
"Layout","Opsætning"
"Layout Update XML","XML Layoutopdatering"
"Link to a CMS Page","Link til en CMS side"
"Manage Pages","Administrer sider"
"Media Gallery","Mediegalleri"
"Media Storage","Medialager"
"Meta Data","Metadata"
"Meta Description","Metabeskrivelse"
"Meta Keywords","Metanøgleord"
"New Block","Ny blok"
"New Folder Name:","Nyt mappenavn:"
"New Page","Ny side"
"No files found","Ingen filer fundet"
"Page Information","Sideinformation"
"Page Status","Sidestatus"
"Page Title","Sidetitel"
"Pages","Sider"
"Product Tax Class Information","Gruppe - detaljer"
"Redirect to CMS-page if Cookies are Disabled","Omdiriger til CMS-side, hvis Cookies er deaktiveret"
"Save Block","Gem blok"
"Save Page","Gem siden"
"Select Block...","Vælg blok..."
"Select Page...","Vælg side..."
"Show Breadcrumbs for CMS Pages","Vis brødkrumme for CMS sider"
"Show Notice if JavaScript is Disabled","Vis meddelelse hvis JavaScript er deaktiveret"
"Static Blocks","Statiske blokke"
"Store View","Butiksvisning"
"Template","Skabelon"
"The page has been deleted.","Siden er blevet slettet."
"This block no longer exists.","Denne blok eksisterer ikke længere."
"This page no longer exists.","Denne side findes ikke længere."
"Title","Titel"
"URL Key","URL nøgle"
"WYSIWYG Options","WYSIWYG indstillinger"
