"* Select shipping method","* Vælg forsendelsesmetode"
"2Day","2 dage"
"2nd Day Air","2. dag fly"
"2nd Day Air AM","2. dag fly AM"
"3 Day Select","3 dages valg"
"Add Shipping Method","Tilføj leveringsmetode"
"Allowed Methods","Tilladte metoder"
"Amount: %s","Beløb: %s"
"Auto-generated from GoogleCheckout Charge","Autooprettet fra Google Checkout betaling"
"CC Partial: xxxx-%s","CC Delvis: xxxx-%s"
"Carrier Calculated Methods","Fragtselskabs udregnede metoder"
"Cart Discount","Kurv rabat"
"Checkout Image Style","Bestillingens billedstil"
"Commercial","Kommerciel"
"Continue Shopping URL","Fortsæt med at handle-URL"
"Debug","Fejlsøgning"
"Default Package Height (in)","Standardpakkehøjde (in)"
"Default Package Length (in)","Standardpakkelængde (in)"
"Default Package Width (in)","Standardpakkebredde (in)"
"Default price:","Standardpris:"
"Delivery Address Category","Kategori for leveringsadresse"
"Disable Default Tax Tables","Deaktiver standardmomstabeller"
"Enable","Aktivér"
"Enable Carrier Calculated","Aktiver fragtselskabsudregning"
"Enable Flat Rate","Aktiver flat rate"
"Enable Merchant Calculated","Aktiver forhandlerudregning"
"Enable this if your checkout request is too big and being cut off.","Aktiver dette hvis dit bestillingskald er for stort og bliver afbrudt."
"Expiration: %s","Udløber: %s"
"Financial: %s -> %s","Finansiel: %s -> %s"
"Free Shipping","Fri fragt"
"Fulfillment: %s -> %s","Fuldendt: %s -> %s"
"Google Authorization:","Google godkendelse:"
"Google Charge:","Google betaling:"
"Google Checkout","Google betaling"
"Google Checkout Shipping - Carrier Calculated","Google Checkout forsendelse - fragtfirmaberegnet"
"Google Checkout Shipping - Flat Rate","Google Checkout forsendelse - fast takst"
"Google Checkout Shipping - Merchant Calculated","Google Checkout forsendelse - forhandlerberegnet"
"Google Checkout: %s","Google betaling: %s"
"Google Order Number: %s","Google ordrenr.: %s"
"Google Refund:","Google tilbagebetaling:"
"Google Risk Information:","Google risikoinformation:"
"Ground","Jord"
"Home Delivery","Omdeling"
"IP Address: %s","IP-adresse: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Hvis aktiveret skjules kurvens indhold efter der klikkes på Google Checkout-knappen i indkøbskurve, og genskabes hvis ""Rediger kurv""-linket aktiveres."
"Inches","Tommer"
"Large - %s","Stor - %s"
"Latest Charge: %s","Seneste betaling: %s"
"Latest Refund: %s","Seneste tilbagebetaling: %s"
"Location","Lokation"
"Media Mail","Medie mail"
"Merchant ID","Sælger-ID"
"Merchant Key","Forhandlernøgle"
"Method","Metode"
"New Order Status","Nye ordrestatus"
"Next Day Air","Næste dag fly"
"Next Day Air Early AM","Næste dag fly tidlig AM"
"Next Day Air Saver","Næste dag fly økonomi"
"No","Nej"
"Optional, leave empty for home page.","Valgfrit, lad stå tom for at gå til forside."
"Parcel Post","Pakkepost"
"Rate 1 Amount","Sats 1 beløb"
"Rate 1 Ship To Applicable Countries","Sats 1 - lever til relevante lande"
"Rate 1 Ship to Specific Countries","Sats 1 - lever til bestemte lande"
"Rate 1 Title","Sats 1 - titel"
"Rate 2 Amount","Sats 2 beløb"
"Rate 2 Ship To Applicable Countries","Sats 2 - lever til relevante lande"
"Rate 2 Ship to Specific Countries","Sats 2 - lever til bestemte lande"
"Rate 2 Title","Sats 2 - titel"
"Rate 3 Amount","Sats 3 beløb"
"Rate 3 Ship To Applicable Countries","Sats 3 - lever til relevante lande"
"Rate 3 Ship to Specific Countries","Sats 3 - lever til bestemte lande"
"Rate 3 Title","Sats 3 - titel"
"Residential","Privat"
"Secure Callback URL","Sikker callback-URL"
"Small - %s","Lille - %s"
"Title","Titel"
"Total Charged: %s","Total faktureret: %s"
"Total Refunded: %s","Total refunderet: %s"
"United Kingdom","Storbritannien"
"United States","USA"
"White Background","Hvid baggrund"
"Yes","Ja"
"You will be redirected to GoogleCheckout in a few seconds.","Du bliver videresendt til Google Checkout om et par sekunder."
