"* Required Fields","* Påkrævede felter"
"--Please Select--","--Vælg--"
"<label>Make Check payable to:</label> %s","<label>Udsted checken til:</label> %s"
"Bank Transfer Payment","Betaling via bankoverførsel"
"Card Verification Number","Kortnummer verifikation"
"Check / Money Order","Check / Bankoverførsel"
"Credit Card Number","Kreditkortnummer"
"Credit Card Number: xxxx-%s","<strong>Kreditkortnummer:</strong> <span class=nowrap"">xxxx-%s</span>"""
"Credit Card Type","Kreditkorttype"
"Credit Card Type: %s","<strong>Kreditkorttype:</strong> <span class=nowrap"">%s</span>"""
"Credit Card Types","Kreditkorttyper"
"Credit card type is not allowed for this payment method.","Kreditkorttypen er ikke tilladt for denne betalingsmetode."
"Currency","Valuta"
"Day","Dag"
"Enabled","Aktiveret"
"Expiration Date","Udløbsdato"
"Expiration Date: %s/%s","Udløbsdato: %s/%s"
"Incorrect credit card expiration date.","Forkert kreditkort udløbsdato."
"Instructions","Instruktioner"
"Invalid Credit Card Number","Invalid kreditkort nummer"
"Issue Number","Udstedelsesnummer"
"Make Check payable to: %s","Udsted check til: %s"
"Maximum Order Total","Maksimumsordre i alt"
"Merchant ID","Sælger-ID"
"Minimum Order Total","Minimumsordre i alt"
"Month","Måned"
"Name on Card","Kortholders navn"
"Name on the Card: %s","Kortholders navn: %s"
"New Order Status","Nye ordrestatus"
"Password","Kodeord"
"Payment Method","Betalingsmetode"
"Payment Methods","Betalingsmetoder"
"Payment Methods Section","Betalingsmetoder"
"Payment from Applicable Countries","Betaling fra gældende lande"
"Payment from Specific Countries","Betaling fra bestemte lande"
"Please enter a valid credit card verification number.","Angiv et gyldigt kreditkort verifikation tal."
"Purchase Order Number","Købsordrenummer"
"Purchase Order Number: %s","Købsordrenr.: %s"
"Saved CC","Gemt kreditkort"
"Selected payment type is not allowed for billing country.","Den valgte betalingsmetode er ikke tilladt for det valgte land."
"Send Check to","Send check til"
"Send Check to:","Send check til:"
"Shipping Amount","Fragt beløb"
"Sort Order","Sorteringsrækkefølge"
"Start Date","Start dato"
"Tax Amount","Momsbeløb"
"Test Mode","Testtilstand"
"Title","Titel"
"What is this?","Hvad er dette?"
"Year","År"
"Zero Subtotal Checkout","Bestilling med subtotal nul"
