"Actions","Handlinger"
"Add Answer","Tilføj svar"
"Add New Answer","Tilføj nyt svar"
"Add New Poll","Opret ny afstemning"
"Answer Title","Svar"
"Answer Title:","Svar:"
"Answer with the same title in this poll","Samme svar findes allerede i denne afstemning"
"Are you sure you want to delete it?","Er du sikker på, at du ønsker at slette?"
"Assigned Answers","Svarmuligheder"
"Closed","Lukket"
"Community Poll","Afstemning"
"Date Closed","Slutdato"
"Date Posted","Startdato"
"Delete","Slet"
"Delete Answer","Slet svar"
"Delete Poll","Slet afstemning"
"Edit Answer '%s'","Rediger svar '%s'"
"Edit Poll '%s'","Rediger afstemning '%s'"
"Edit Poll Answer","Rediger svar"
"New Poll","Ny afstemning"
"Number of Responses","Antal svar"
"Open","Åbn"
"Poll Answers","Svarmuligheder"
"Poll Information","Spørgsmål"
"Poll Manager","Afstemninger"
"Poll Question","Spørgsmål"
"Poll information","Spørgsmål"
"Poll with the same question","Afstemning med samme spørgsmål eksisterer allerede"
"Polls","Afstemninger"
"Save Answer","Gem svar"
"Save Poll","Gem afstemning"
"Visible In","Synlig i"
"Vote","Stem"
"Votes Count","Antal stemmer"
"Votes Count:","Antal stemmer:"
