"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"Add New Rating","Tilføj ny bedømmelse"
"Assigned Options","Tildelte muligheder"
"Be the first to review this product","Vær den første til at anmelde dette produkt"
"Default Value","Standardværdi"
"Delete Rating","Slet bedømmelse"
"Edit Rating","Rediger karakter: %s"
"If you do not specify a rating title for a store, the default value will be used.","Hvis du ikke angiver en karaktertitel for en butik bruges standardværdien."
"New Rating","Ny bedømmelse"
"Option Label","Label"
"Option Title","Alternativ titel"
"Option Title:","Valgmulighed Titel:"
"Please select one of each ratings above","Vælg venligst en af bedømmelserne ovenfor."
"Rating Information","Bedømmelsesinformation"
"Rating Name","Navn"
"Rating Options","Indstillinger for karakter"
"Rating Title","Bedømmelsestitel"
"Rating Visibility","Synlighed"
"Rating isn't Available","Bedømmelse er ikke tilgængelig"
"Rating with the same title","Bedømmelse med samme overskrift"
"Save Rating","Gem bedømmelse"
"Sort Order","Sorteringsrækkefølge"
"Visible In","Synlig i"
