"-- Please Select --","-- Vælg venligst --"
"Actions","Handlinger"
"All","Alle"
"All Product Types","Alle produkt typer"
"Apply","Anvend"
"Big Image","Stort billede"
"Categories","Kategorier"
"Close","Luk"
"Continue","Fortsæt"
"Delete","Slet"
"Export to:","Eksportér til:"
"Frontend Properties","Egenskaber (front-end)"
"Images","Billeder"
"Insert Widget","Indsæt Widget"
"Next page","Næste side"
"Open Chooser","Åben vælger"
"Page","Side"
"Previous page","Forrige side"
"Products","Produkter"
"Save and Continue Edit","Gem og fortsæt redigering"
"Select All","Vælg alle"
"Select Visible","Vælg synlige"
"Settings","Indstillinger"
"Sort Order","Sorteringsrækkefølge"
"Template","Skabelon"
"The information in this tab has been changed.","Oplysningerne i denne fane er blevet ændret."
"This tab contains invalid data. Please solve the problem before saving.","Denne fane indeholder ugyldige data. Ret venligst problemet før du gemmer."
"Thumbnail","Miniaturebillede"
"Total %d records found","<strong>%d</strong> poster i alt"
"Unselect All","Fravælg alle"
"Unselect Visible","Fravælg synlige"
"View","Vis"
"items selected","valgte elementer"
"of %s pages","af %s sider"
"per page","pr. side"
