"* Required Fields","* Pflichtfelder"
"-- Please Select --","-- Bitte wählen --"
"A group with the same name already exists.","Eine Gruppe mit dem selben Namen existiert bereits."
"A product type is not defined for the indexer.","Eine Artikelart ist noch nicht definiert für den Indexer."
"ALL GROUPS","ALLE GRUPPEN"
"AM","Vormittags (a.m.)"
"Action","Aktion"
"Actual Price","Tatsächlicher Preis"
"Add","Hinzufügen"
"Add Attribute","Attribut hinzufügen"
"Add Design Change","Designänderung hinzufügen"
"Add Group","Gruppe hinzufügen"
"Add New","Neu"
"Add New Attribute","Neues Attribut"
"Add New Attribute Set","Neues Attribut-Set hinzufügen"
"Add New Group","Neue Gruppe"
"Add New Images","Neue Bilder hinzufügen"
"Add New Option","Neue Option hinzufügen"
"Add New Row","Neue Zeile einfügen"
"Add New Search Term","Neuen Suchbegriff hinzufügen"
"Add Product","Neuer Artikel"
"Add Product To Websites","Produkt zu Webseiten hinzufügen"
"Add Root Category","Neue Haupt-Kategorie"
"Add Subcategory","Neue Unterkategorie"
"Add Tax","Gesamt inkl. Steuern"
"Add to Cart","In den Warenkorb"
"Add to Compare","Zur Vergleichsliste hinzufügen"
"Add to Wishlist","Zur Wunschliste hinzufügen"
"All","Alle"
"All Product Types","Alle Produkttypen"
"All Websites","Alle Webseiten"
"All products","Alle Artikel"
"All products - recently added products, New products - products marked as new","Alle Produkte - kürzlich hinzugefügt Produkte, neue Produkte - als neu markierte Produkte"
"Allow All Products per Page","Erlaube alle Artikel pro Seite"
"Amount","Betrag"
"Anchor Custom Text","Individueller Anker Text"
"Anchor Custom Title","Individueller Link-Text"
"Apply To","Anwenden auf"
"Approved","Freigegeben"
"Are you sure you want to delete this category?","Sind Sie sicher, dass Sie diese Kategorie löschen möchten?"
"Are you sure?","Sind Sie sicher?"
"Assign","Zuordnen"
"Associated Products","Verknüpfte Produkte"
"Attribute Information","Attributinformation"
"Attribute Model","Attributmodell"
"Attribute Set","Attribut-Set"
"Attribute Sets","Attribut-Sets"
"Attributes","Attribute"
"Availability:","Lieferbarkeit:"
"Back","Zurück"
"Backend Model","Backend-Model"
"Backorders","Rückstand"
"Based On","Bitte bestätigen Sie, dass Sie die Seite wechseln möchten. Dadurch gehen alle nicht gespeicherten Informationen verloren!"
"Before Order Confirmation","Vor der Bestätigung der Bestellung"
