"(Excl. Tax)","(Zzgl. Steuern)"
"(Incl. Tax)","(Inkl. MwSt.)"
"* Required Fields","* Pflichtfelder"
"Add New Address","Neue Adresse hinzufügen"
"Add New Condition","Neue Bedingung hinzufügen"
"Add to Cart","In den Warenkorb"
"Add to Compare","Zur Vergleichsliste hinzufügen"
"Add to Wishlist","Zur Wunschliste hinzufügen"
"Address","Adresse"
"After Adding a Product Redirect to Shopping Cart","Nach Hinzufügen eines Artikels zum Warenkorb weiterleiten"
"Allow Guest Checkout","Gastbestellung aktivieren"
"Apply","Anwenden"
"Apply Coupon","Gutschein einlösen"
"Are you sure you would like to remove this item from the shopping cart?","Soll dieser Artikel wirklich aus Ihrem Warenkorb entfernt werden?"
"Back","Zurück"
"Back to Billing Information","Zurück zu den Rechnungsinformationen"
"Back to Select Addresses","Zurück zur Adressenauswahl"
"Back to Shipping Information","Zurück zu den Versandinformationen"
"Back to Shopping Cart","Zurück zum Warenkorb"
"Billing Address","Rechnungsadresse"
"Billing Information","Bestellübersicht"
"Cancel","Stornieren"
"Cancel Coupon","Gutschein stornieren"
"Cannot process the item.","Kann das Element nicht verarbeiten."
"Card Verification Number Visual Reference","Kartenprüfnummer"
"Change","Ändern"
"Change Billing Address","Rechnungsanschrift ändern"
"Checkbox Text","Checkbox-Text"
"Checkout","Kasse"
"Checkout Conditions","Bestellbedingungen"
"Checkout Options","Checkout-Optionen"
"Checkout Terms and Conditions","AGB"
"City","Stadt"
"Clear Shopping Cart","Warenkorb leeren"
"Close","Schließen"
"Company","Firma"
"Condition Name","Bedingungsname"
"Configurable Product Image","Konfigurierbares Produktbild"
"Confirm Password","Passwort bestätigen"
"Content","Inhalt"
"Content Height","Inhaltshöhe"
"Content Height (css)","Inhaltshöhe (CSS)"
"Continue","Fortsetzen"
"Continue Shopping","Einkauf fortsetzen"
"Continue to Billing Information","Weiter zu Rechnungsinformationen"
"Country","Land"
"Create Billing Address","Rechnungsanschrift anlegen"
"Create Shipping Address","Lieferanschrift anlegen"
"Customer Information","Kundeninformation"
"Data saving problem","Daten konnten nicht gespeichert werden"
"Default Billing","Standardrechnung"
"Default Shipping","Standard-Versand"
"Delete Condition","Lösche Bedingung"
"Disabled","Deaktiviert"
"Display Cart Summary","Warenkorbzusammenfassung anzeigen"
"Display item quantities","Zeige Artikelanzahl"
"Display number of items in cart","Zeige Anzahl der Produkte im Warenkorb"
"Edit","Bearbeiten"
"Edit Address","Rechnungsadresse ändern"
"Edit Billing Address","Rechnungsanschrift bearbeiten"
"Edit Condition","Bedingungen bearbeiten"
"Edit Items","Artikel bearbeiten"
"Edit Shipping Address","Lieferanschrift bearbeiten"
"Edit Terms and Conditions","Allgemeinen Geschäftsbedingungen bearbeiten"
"Edit Your Cart","Warenkorb bearbeiten"
"Edit item","Artikel bearbeiten"
"Edit item parameters","Artikelparameter bearbeiten"
"Email Address","E-Mailadresse"
"Enable Onepage Checkout","Onepage Bezahlung aktivieren"
"Enable Terms and Conditions","Allgemeine Geschäftsbedingungen aktivieren"
"Enabled","Aktiviert"
"Enter a New Address","Geben Sie eine neue Adresse ein"
"Estimate Shipping and Tax","Geschätzter Versand und Steuern"
"Excl. Tax","Exkl. Steuern"
"Forgot an Item?","Artikel vergessen?"
"Forgot your password?","Passwort vergessen?"
"Gift Message","Geschenknachricht"
"Grand Total:","Gesamtsumme:"
"Grouped Product Image","Bild für gruppiertes Produkt"
"ID","Id"
"Incl. Tax","Inkl. MwSt."
"Items","Artikel"
"Load customer quote error","Fehler beim Laden des Kundenangebots"
"Login","Anmelden"
"Terms and Conditions","Allgemeine Geschäftsbedingungen"
"Move","Verschieben"
"Move to Wishlist","In Wunschliste verschieben"
"My Cart","Mein Warenkorb"
"My Cart Link","Link zu meinem Warenkorb"
"New Address","Neue Adresse"
"New Condition","Neue Bedingungen"
"New Terms and Conditions","Neue Allgemeinen Geschäftsbedingungen"
"No Payment Methods","Keine Zahlungsarten"
"Order #","Bestellung #"
"Order Review","Bestellübersicht"
