"Base URL","Basis-URL"
"Configuration","Konfiguration"
"Confirm Password","Passwort bestätigen"
"Continue","Fortsetzen"
"Database","Datenbank"
"Download","Herunterladen"
"Email","E-Mail"
"Email Address","E-Mailadresse"
"Enable Charts","Charts aktivieren"
"Encryption Key","Verschlüsselungsschlüssel"
"File System","Dateisystem"
"First Name","Vorname"
"Last Name","Nachname"
"Locale","Gebietsschema"
"Password","Passwort"
"Password Confirmation","Kennwort bestätigen"
"Personal Information","Persönliche Daten"
"Report All Bugs","Melden Sie alle Fehler"
"Required Fields","Pflichtfelder"
"Secure Base URL","Gesicherte Basis-URL"
"User Name","Benutzername"
"User Password","Benutzerkennwort"
"Username","Benutzername"
