"* Required Fields","* Pflichtfelder"
"--Please Select--","-- Bitte wählen --"
"Bank Transfer Payment","Zahlung per Überweisung"
"Card Verification Number","Kartenprüfnummer"
"Cash On Delivery Payment","Zahlung per Nachnahme"
"Check / Money Order","Scheck / Zahlungsanweisung"
"Credit Card Number","Kreditkartennummer"
"Credit Card Type","Kreditkartentyp"
"Credit Card Types","Kreditkartentypen"
"Credit card type is not allowed for this payment method.","Kreditkartentyp ist für diese Zahlungsart nicht zulässig."
"Currency","Währung"
"Day","Tag"
"Debug Mode","Debug-Modus"
"Enabled","Aktiviert"
"Expiration Date","Ablaufdatum"
"Incorrect credit card expiration date.","Falsches Kreditkarten-Ablaufdatum."
"Instructions","Anweisungen"
"Invalid Credit Card Number","Ungültige Kreditkartennummer"
"Issue Number","Ausstellungsnummer"
"Make Check Payable to","Check ausstellen auf"
"Make Check payable to:","Check ausstellen auf:"
"Maximum Order Total","Maximalwert für Gesamtbestellung"
"Merchant ID","Verkäufer ID"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"Month","Monat"
"N/A","Keine Angabe"
"New Order Status","Neuer Bestellstatus"
"Password","Passwort"
"Payment Method","Zahlungsart"
"Payment Methods","Zahlungsarten"
"Payment Methods Section","Abschnitt Zahlungsmethoden"
"Payment Services","Zahlungsdienste"
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Please enter a valid credit card verification number.","Bitte geben Sie eine gültige Kartenprüfnummer ein."
"Purchase Order","Kauf auf Rechnung"
"Purchase Order Number","Bestellnummer"
"Selected payment type is not allowed for billing country.","Ausgewählte Zahlungsart ist nicht zulässig. Überprüfen Sie bitte das Land Ihrer Rechnungsadresse."
"Send Check to","Check senden an"
"Send Check to:","Bezahlvorgang bei 0,&mdash; Gesamtsumme"
"Shipping Amount","Versandbetrag"
"Sort Order","Sortierreihenfolge"
"Start Date","Start"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Ausgabenummer"
"Switch/Solo/Maestro Only","Nur Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Startdatum"
"Tax Amount","Steuerbetrag"
"Test Mode","Test Modus"
"The payment review action is unavailable.","Die Zahlungsbewertungs-Aktion ist nicht verfügbar."
"The requested Payment Method is not available.","Die angeforderte Zahlungsart ist nicht verfügbar."
"Title","Titel"
"Unable to save Billing Agreement:","Zahlungsvereinbarung kann nicht gespeichert werden:"
"What is this?","Was ist das?"
"Year","Jahr"
