" The customer does not exist in the system anymore."," Dieser Kunde existiert nicht mehr im System."
" [deleted]"," [gelöscht]"
" and "," und "
"%s (Default Template from Locale)","%s (Standard-Vorlage aus der Lokalisierung)"
"%s cache type(s) disabled.","%s Cachearten deaktiviert."
"%s cache type(s) enabled.","%s Cachearten aktiviert."
"%s cache type(s) refreshed.","%s × erfolgreich Cache aktualisiert."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Für den Typ ""Lokalen Server"" wird die relative Pfadanganbe zur Magento Instanz var/export oder var/import benötigt, z.B. var/export, var/import, var/export/unter/verzeichnis, var/import/unter/verzeichnis)"
"(For US 2-letter state names)","(Für USA Staatsnamen aus 2 Buchstaben)"
"(If left empty will be auto-generated)","(Wird automatisch generiert, wenn leer gelassen)"
"(Leave empty for first spreadsheet)","(Leer lassen für erste Tabelle)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Artikel werden zu diesem Shop hinzugefügt/aktualisiert, wenn die 'Shop' Spalte in dieser Importdatei leer ist oder fehlt.)"
"(Shift-)Click or drag to change value","Drücken Sie Shift (Großschreibung) und klicken oder ziehen Sie, um den Wert zu verändern"
"(Starting with)","(Starte mit)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Bei 'Nein' werden nur zugeordnete Felder importiert. Bei Zuordnung 'column1', 'column2', usw. verwenden.)"
"(You have to increase php memory_limit before changing this value)","(Sie müssen das PHP memory_limit erhöhen bevor Sie diesen Wert ändern)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Wenn der Indizierungsprozess gerade läuft, wird dieser abgebrochen und einer neuer gestartet."
"* Required Fields","* Pflichtfelder"
"- Click on any of the time parts to increase it","- Klicken Sie auf die gewünschten Zeiträume, um diese auszuwählen"
"- Hold mouse button on any of the above buttons for faster selection.","- Halten Sie für eine schnellere Auswahl den Maus-Button auf jeden der oberen Buttons."
"- Use the %s buttons to select month","- Verwenden Sie %s Buttons, um den Monat auszuwählen"
"- Use the %s, %s buttons to select year","- Verwenden Sie die %s, %s Buttons, um das Jahr auszuwählen"
"- or Shift-click to decrease it","- oder Shift-Mausklick, um die Auswahl zu verkleinern"
"- or click and drag for faster selection.","- oder Mausklick und ziehen für eine schnellere Auswahl."
"-- Not Selected --","-- Nichts ausgewählt --"
"-- Please Select --","-- Bitte wählen --"
"-- Please Select Billing Agreement--","-- Bitte Zahlungsvereinbarung auswählen --"
"-- Please Select a Category --","--Bitte wählen--"
"-- Please select --","--Bitte auswählen--"
"--Please Select--","-- Bitte wählen --"
