"%s role is a special one and can't be changed.","%s ist eine Sonderberechtigung und kann nicht bearbeitet werden."
"%s role is a special one and can't be deleted.","%s ist eine Sonderberechtigung und kann nicht gelöscht werden."
"%s role is protected.","Berechtigung %s ist geschützt."
"ACL Attribute Rules","ACL Attribut Regeln"
"ACL Attributes Information","ACL Attribut Information"
"Add","Hinzufügen"
"Add Admin Role","Neue Admin-Gruppenberechtigung"
"Add New Role","Neue Rolle hinzufügen"
"Address Type","Adresstyp"
"Admin","Administrator"
"Allow","Erlauben"
"An error occurred while deleting the role.","Beim Löschen dieser Gruppenberechtigung ist ein Fehler aufgetreten."
"An error occurred while saving attribute rules.","Beim Speichern der Attribut Regel ist ein Fehler aufgetreten."
"An error occurred while saving role.","Beim Speichern der Gruppenberechtigung ist ein Fehler aufgetreten."
"Api Rules Information","API Regeln - Information"
"Assigned","Zugewiesen"
"Associate to Website","Einer Website zuordnen"
"Attribute Rules Information","Attribut Regeln - Information"
"Attribute Set","Attribut-Set"
"Attributes","Attribute"
"Automatically Return Credit Memo Item to Stock","Erzeuge automatische Gutschrift wenn Artikel zurück in Lager geht"
"Back","Zurück"
"Backorders","Rückstand"
"Base Currency","Basiswährung"
"Base Customer Balance","Kontostand des Kunden in Basiswährung"
"Base Discount","Rabatt in Basiswährung"
"Base Discount Amount","Rabattbetrag in Basiswährung"
"Base Item Subtotal","Pos.-Zwischensumme in Basiswährung"
"Base Item Subtotal Including Tax","Pos.-Zwischensumme inkl. Steuern in Basiswährung"
"Base Original Price","Originalpreis in Basiswährung"
"Base Price","Preis in Basiswährung"
"Base Price Including Tax","Preis inkl. Steuern in Basiswährung"
"Base Shipping","Versand in Basiswährung"
"Base Shipping Discount","Versandrabatt in Basiswährung"
"Base Shipping Tax","Versandsteuern in Basiswährung"
"Base Subtotal","Zwischensumme in Basiswährung"
"Base Subtotal Including Tax","Zwischensumme inkl. Steuern in Basiswährung"
"Base Tax Amount","Steuerbetrag in Basiswährung"
"Base Total Due","Gesamtbetrag fällig in Basiswährung"
"Base Total Paid","Gesamtbetrag bezahlt in Basiswährung"
"Base Total Refunded","Gesamterstattung in Basiswährung"
"Buy Now URL","'Jetzt kaufen' URL"
"Can Be Divided into Multiple Boxes for Shipping","Kann zum Versand in mehrere Pakete aufgeteilt werden"
"Canceled Qty","Stornierte Menge"
"Catalog","Katalog"
"Catalog Product","Katalogartikel"
"CatalogInventory","Lagerbestand"
"Category ID","Kategorie ID "
"City","Stadt"
"Company","Firma"
"Country","Land"
"Coupon Code","Rabattcode"
"Create","Anlegen"
"Create Permanent Redirect for old URL","Permanente Weiterleitung (301) für die alte URL anlegen"
"Created From","Angelegt in"
"Customer","Kunde"
"Customer Address","Kundenadresse"
"Customer Address ID","Kundenanschrift ID"
"Customer Balance","Kontostand"
"Customer First Name","Vorname des Kunden"
"Customer ID","Kunden-ID"
"Customer Last Name","Nachname des Kunden"
"Customer Middle Name","Mittelname"
"Customer Prefix","Präfix"
"Customer Suffix","Suffix"
"Default Image","Standardbild"
"Delete","Löschen"
"Deny","Verbieten"
"Disable automatic group change based on VAT ID","Automatischen Kundengruppenwechsel basierend auf USt-IdNr. deaktivieren"
"Discount","Rabatt"
"Discount Amount","Rabattbetrag"
"Discount Description","Rabattbeschreibung"
"Edit","Bearbeiten"
"Edit %s ACL attribute rules","%s ACL Attribut Regeln bearbeiten"
"Edit Role","Rolle bearbeiten"
"Edit attribute rules for %s Role","Attribut Regeln für %s Gruppenberechtigung bearbeiten"
"Email","E-Mail"
"Enable Qty Increments","Mengenerhöhungen aktivieren"
"Exclude","Ausschließen"
"File Content","Dateiinhalt"
"File MIME Type","Datei MIME Type"
"File Name","Dateiname"
"Final Price With Tax","Gesamtpreis inkl. Steuern"
"Final Price Without Tax","Gesamtpreis zzgl. Steuern"
"First Name","Vorname"
"Gift Message","Geschenknachricht"
"Grand Total","Gesamtsumme"
"Grand Total to Be Charged","Gesamtsumme zu zahlen"
"Group","Gruppe"
"Guest","Gast"
"Has Custom Options","Individualisierungsoptionen vorhanden"
"ID","Id"
"Inventory Data","Lagerdaten"
"Invoiced Qty","Berechnet"
"Is Confirmed","Bestätigt"
"Is Default Billing Address","Standard Rechnungsanschrift"
"Is Default Shipping Address","Standard Versandanschrift"
"Item ID","Artikelnummer"
"Item Subtotal","Zwischensumme"
"Item Subtotal Including Tax","Zwischensumme inkl. Steuern"
"Label","Bezeichnung"
"Last Logged In","Zuletzt angemeldet:"
"Last Name","Nachname"
"Low Stock Date","Datum des geringen Lagerbestands"
"Manage Stock","Lagerbestand verwalten"
"Maximum Qty Allowed in Shopping Cart","Maximal erlaubte Menge im Warenkorb"
"Minimum Qty Allowed in Shopping Cart","Minimal erlaubte Menge im Warenkorb"
"New Role","Neue Rolle"
"Notify for Quantity Below","Benachrichtigung bei Menge unter"
"Order","Bestellung"
"Order Addresses","Bestelladressen"
"Order Comments","Kommentare zur Bestellung"
"Order Currency","Bestellwährung"
"Order Date","Bestelldatum"
"Order ID","Bestellnummer"
"Order ID (internal)","Bestellnummer (intern)"
"Order Item ID","Artikelnummer"
"Order Items","Artikel"
"Order Status","Bestellstatus"
"Ordered Qty","Bestellt"
"Orders","Bestellungen"
"Original Price","Originalpreis"
"Parent Order Item ID","Übergeordnete Artikelnummer"
"Payment Method","Zahlungsart"
"Phone Number","Telefonnummer"
"Placed from IP","Erstellt über IP"
"Please enter a valid number in ""max_sale_qty"" field","Bitte geben Sie eine gültige Nummer in ""max_sale_qty"" ein."
"Please enter a valid number in ""min_qty"" field","Bitte geben Sie eine gültige Nummer in ""min_qty"" ein."
"Please enter a valid number in ""min_sale_qty"" field","Bitte geben Sie eine gültige Nummer in ""min_sale_qty"" ein."
"Please enter a valid number in ""notify_stock_qty"" field","Bitte geben Sie eine gültige Nummer in ""notify_stock_qty"" ein."
"Please use numbers only in ""category_id"" field.","Bitte verwenden Sie nur Ziffern im ""category_id"" Feld."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Bitte verwenden Sie nur Ziffern im ""qty_increments"" Feld, vermeiden Sie Leerzeichen oder andere Zeichen außer Punkt oder Komma."
"Position","Reihenfolge"
"Price","Preis"
"Price Including Tax","Preis inkl. Steuern"
"Product","Produkt"
"Product Category","Artikelkategorie"
"Product ID","Artikelnummer"
"Product Image","Artikelbild"
"Product Type","Artikeltyp"
"Product URL","Artikel-URL"
"Product Website","Artikel-Website"
"Product and Custom Options Name","Produktname und Namen der Individualisierungsoptionen"
"Qty","Menge"
"Qty Increments","Anzahl erhöhen"
"Qty Uses Decimals","Menge verwendet Dezimalzahlen"
"Qty for Item's Status to Become Out of Stock","Stückzahl für ""Nicht auf Lager""-Status"
"REST - Attributes","REST - Attribute"
"REST - Roles","REST - Gruppenberechtigungen"
"REST ACL Attributes","REST ACL Attribute"
"REST Attributes","REST Attribute"
"REST Role","REST Gruppenberechtigung"
"REST Roles","REST Gruppenberechtigungen"
"REST Roles Information","REST Gruppenberechtigungen Information"
"Read","Lesen"
"Refunded Qty","Erstattet"
"Regular Price With Tax","Standardpreis inkl. Steuern"
"Regular Price Without Tax","Standardpreis zzgl. Steuern"
"Rest Roles","REST Gruppenberechtigungen"
"Retrieve","Abrufen"
"Role ""%s"" no longer exists","Gruppenberechtigung ""%s"" existiert nicht mehr"
"Role ""%s"" not found.","Gruppenberechtigung ""%s"" nicht gefunden."
"Role API Resources","Gruppenberechtigung API Ressource"
"Role Info","Rolleninfo"
"Role Information","Rolleninformationen"
"Role Name","Rollenname"
"Role Users","Rolle-Benutzer"
"Role has been deleted.","Die Gruppenberechtigung wurde gelöscht."
"Roles","Rollen"
"SKU","Artikelnummer"
"Salability Status","Verkäuflich"
"Sales","Verkäufe"
"Save","Speichern"
"Shipped Qty","Versandt"
