" Copy"," Kopieren"
"Action","Aktion"
"Add New Template","Neue Vorlage"
"Add to Queue","Zur Warteschlange hinzufügen"
"Allow Guest Subscription","Gästen die Anmeldung erlauben"
"An error occurred while saving your subscription.","Beim Speichern Ihrer Anmeldung ist ein Fehler aufgetreten."
"Are you sure that you want to delete this template?","Sind Sie sicher, dass Sie diese Vorlage löschen möchten?"
"Are you sure that you want to strip all tags?","Sind Sie sicher, dass Sie alle Tags entfernen möchten?"
"Back","Zurück"
"Cancel","Stornieren"
"Cancelled","Storniert"
"Cannot mark as received subscriber.","Empfänger konnte nicht als ""versendet"" markiert werden."
"Confirmation Email Sender","Absender Bestätigungs-E-Mail"
"Confirmation Email Template","Vorlage Bestätigungs-E-Mail"
"Confirmation request has been sent.","Bestätigungsanfrage wurde versendet."
"Convert to Plain Text","Zu Text konvertieren"
"Create Newsletter Template","Newslettervorlage erstellen"
"Customer","Kunde"
"Customer First Name","Vorname des Kunden"
"Customer Last Name","Nachname des Kunden"
"Customer Middle Name","Mittelname"
"Customer My Account Newsletter Subscriptions","Kunde - Mein Benutzerkonto - Newsletter Abonnements"
"Date Added","Hinzugefügt am"
"Date Updated","Aktualisiert am"
"Delete","Löschen"
"Delete Selected Problems","Ihre Anmeldung wurde bestätigt."
"Delete Template","Vorlage löschen"
"Do you really want to cancel the queue?","Sind Sie sicher, dass Sie die Warteschlange abbrechen wollen?"
"Duplicate template code.","Vorlagencode existiert bereits."
"Edit Newsletter","Newsletter bearbeiten"
"Edit Newsletter Template","Newslettervorlage bearbeiten"
"Edit Queue","Warteschlange bearbeiten"
"Edit Template","Vorlage bearbeiten"
"Email","E-Mail"
"Enter your email address","Geben Sie Ihre E-Mail-Adresse ein"
"Error Code","Fehlernummer"
"Error Text","Fehlertext"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Folgen Sie diesem Link, um sich abzumelden <!-- Dieser tag ist für den Abmeldelink --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Gast"
"ID","Id"
"Invalid queue selected.","Ungültige Warteschlange ausgewählt."
"Invalid subscription ID.","Ungültige Abonnenten ID"
