" was not delivered nor scanned"," wurde weder geliefert noch gescannt"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Pro Bestellung"" ermöglicht eine einzelne Bearbeitungsgebühr für die gesamte Bestellung. ""Pro Paket"" ermöglicht eine Bearbeitungsgebühr für jedes zur Bestellung gehörende Paket."
"1 Day Freight","Lieferung am nächsten Tag"
"2 Day","2 Tage"
"2 Day AM","2 Tag AM"
"2 Day Freight","Lieferung in 2 Tagen"
"2nd Day Air","2. Tag Luftpost"
"2nd Day Air AM","2. Tag Luftpost Vormittags"
"2nd Day Air AM Letter","2. Tag Luftpost Vormittags Briefsendung"
"2nd Day Air Letter","2. Tag Luftpost Briefsendung"
"3 Day Freight","Lieferung in drei Tagen"
"3 Day Select","3 Tage Select"
"Access ID","Zugangsnummer"
"Access License Number","Zugangslizenznummer"
"Account ID","Kundenkontokennung"
"Account Number","Kundenkontonummer"
"Additional Protection Configuration Value","Zusätzliche Absicherung Konfigurationswert"
"Additional Protection Enabled","Zusätzliche Absicherung aktiviert"
"Additional Protection Min Subtotal","Zusätzliche Absicherung Mindestzwischensumme"
"Additional Protection Value","Zusätzlicher Absicherungswert"
"Additional Protection Value Rounding Method","Rundungsmethode für zusätzlichen Absicherungswert"
"Adult","Erwachsener"
"Adult Signature Required","Unterschrift eines Volljährigen erforderlich"
"Allowed Methods","Zulässige Methoden"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Diese Funktion ermöglicht es, das Gesamtgewicht der Bestellung in kleinere Teile zu splitten, wenn es %s %s übersteigt. Damit wird die korrekte Versandkostenberechnung sichergestellt."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Diese Funktion ermöglicht es, das Gesamtgewicht der Bestellung in kleinere Teile zu splitten, wenn es 70 kg übersteigt. Damit wird die korrekte Versandkostenberechnung sichergestellt."
"Break bulk economy","Massenstückgut Economy"
"Break bulk express","Express Breakbulk"
"Business Service Center","Geschäftskundenservicezentrum"
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Canada Standard","Kanada Standard"
"Cannot identify measure unit for %s","Maßeinheit für %s konnte nicht erkannt werden"
"Cannot identify weight unit for %s","Gewichtseinheit für %s konnte nicht erkannt werden"
"Cannot retrieve shipping rates","Versandkosten können nicht abgerufen werden"
"Centimeters","Zentimeter"
"Commercial","Gewerblich"
"Configuration","Konfiguration"
"Container","Verpackungsart"
"Content Type","Inhalt"
"Customer Packaging","Kundenverpackung"
"Customer Supplied Package","Vom Kunden gelieferte Verpackung"
"Customer services","Kundenservices"
"DHL (Deprecated)","DHL (veraltet)"
"DHL service is not available at %s date","DHL-Dienst ist nicht verfügbar, %s Zeitpunkt"
"Debug","Debuggen"
"Default Package Height","Standard Verpackungshöhe"
"Default Package Length","Standard Verpackungslänge"
"Default Package Width","Standard Verpackungsbreite"
"Delivered","Zugestellt"
"Delivery Confirmation","Lieferbestätigung"
"Depth","Tiefe"
"Destination Type","Adresstyp"
"Destination facility code is empty","Zielstandort Code ist leer"
"Development","Entwicklung"
"Direct","Direkt"
"Displayed Error Message","Angezeigte Fehlermeldung"
"Divide Order Weight","Gesamtgewicht der Bestellung aufteilen"
"Documents","Dokumente"
"Domestic Shipment Days","National Versandtage"
"Domestic economy select","Domestic Economy Select"
"Domestic express","Domestic Express"
"Drop Box","Briefkasten"
"Dropoff","Zustellen"
"Easy shop","Einfacher Shop"
"Economy select","Economy Select"
"Empty response","Leere Antwort"
"Enable Negotiated Rates","Vereinbarte Preise aktivieren"
"Enabled for Checkout","Bearbeitungsgebühr hinzugefügt"
"Enables/Disables SSL verification of Magento server by UPS.","Aktiviert/Deaktiviert SSL-Prüfung des Magento Servers via UPS."
"Error #%s : %s","Fehler #%s: %s %s"
"Error #%s : %s (%s)","Fehler #%s: %s (%s)"
"Error #%s: %s","Fehler #%s: %s"
"Europe First Priority","Ihre Verpackung"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Umrechnungskurs %s (Basis-Währung) -> %s nicht gefunden. DHL Methode %s übersprungen"
"Express 10:30","Express bis 10:30 Uhr"
"Express 10:30 AM","Express bis 10:30 Uhr"
"Express 12:00","Express bis 12:00 Uhr"
"Express 9:00","Express bis 9:00 Uhr"
