"Action","Aktion"
"Are you sure you want to delete the selected backup(s)?","Sind Sie sicher, dass Sie die ausgewählten Backups löschen möchten?"
"Backups","Sicherungen"
"Create Backup","Backup erstellen"
"Database","Datenbank"
"Database Backup","Datenbanksicherung"
"Database and Media","Datenbank und Medien"
"Database and Media Backup","Datenbank- und Mediensicherung"
"Download","Herunterladen"
"Enable Scheduled Backup","Geplante Sicherungen aktivieren"
"Frequency","Häufigkeit"
"Maintenance Mode","Wartungsmodus"
"Rollback","Wiederherstellung"
"Start Time","Startzeit"
"System (excluding Media)","System (ausgenommen Medien)"
"System Backup","Systemsicherung"
"Time","Zeit"
"Type","Typ"
