"10 minutes","10 Minuten"
"15 minutes","15 Minuten"
"20 minutes","20 Minuten"
"30 minutes","30 Minuten"
"5 minutes","5 Minuten"
"Daily","Täglich"
"Failure History Lifetime","Gültigkeitsdauer für Fehlerhistorie"
"Generate Schedules Every","Generiere Zeitpläne jeden"
"History Cleanup Every","Historie bereinigen jede"
"Hourly","Stündlich"
"Minute Intervals","Minutenintervalle"
"Missed if Not Run Within","Verpasst, wenn nicht innerhalb"
"Monthly","Monatlich"
"Schedule Ahead for","Planen Sie voraus für"
"Success History Lifetime","Gültigkeitsdauer für Erfolgshistorie"
"Unable to delete the cron task.","Die Cron-Aufgabe konnte nicht gelöscht werden."
"Weekly","Wöchentlich"
