" Copy"," Kopieren"
"Action","Aktion"
"Add New Template","Neue Vorlage"
"Add to Queue","Zur Warteschlange hinzufügen"
"Allow Guest Subscription","Gästen die Anmeldung erlauben"
"Are you sure that you want to strip all tags?","Sind Sie sicher, dass Sie alle Tags entfernen möchten?"
"Back","Zurück"
"Cancel","Stornieren"
"Cancelled","Storniert"
"Confirmation Email Sender","Absender Bestätigungs-E-Mail"
"Confirmation Email Template","Vorlage Bestätigungs-E-Mail"
"Convert to Plain Text","Zu Text konvertieren"
"Create Newsletter Template","Newslettervorlage erstellen"
"Customer","Kunde"
"Customer First Name","Vorname des Kunden"
"Customer Last Name","Nachname des Kunden"
"Date Added","Hinzugefügt am"
"Delete","Löschen"
"Delete Selected Problems","Ihre Anmeldung wurde bestätigt."
"Delete Template","Vorlage löschen"
"Do you really want to cancel the queue?","Sind Sie sicher, dass Sie die Warteschlange abbrechen wollen?"
"Edit Newsletter","Newsletter bearbeiten"
"Edit Newsletter Template","Newslettervorlage bearbeiten"
"Edit Queue","Warteschlange bearbeiten"
"Edit Template","Vorlage bearbeiten"
"Email","E-Mail"
"Enter your email address","Geben Sie Ihre E-Mail-Adresse ein"
"Error Code","Fehlernummer"
"Error Text","Fehlertext"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Folgen Sie diesem Link, um sich abzumelden <!-- Dieser tag ist für den Abmeldelink --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Gast"
"ID","Id"
"Message","Nachricht"
"Need to Confirm","Bestätigung erforderlich"
"New Newsletter Template","Neue Newslettervorlage"
"New Template","Neue Vorlage"
"Newsletter Message Preview","Newsletter-Nachrichtenvorschau"
"Newsletter Problem Reports","Newsletter-Problemberichte"
"Newsletter Queue","Newsletter-Warteschlange"
"Newsletter Section","Abschnitt Newsletter"
"Newsletter Styles","Newsletter Stile"
"Newsletter Subscribers","Newsletter-Abonnenten"
"Newsletter Subscription","Newsletter Abonnement"
"Newsletter Subscriptions","Newsletter-Abonnements"
"Newsletter Templates","Newsletter Vorlagen"
"Newsletter subscription confirmation","Newsletter-Anmeldebestätigung"
"Newsletter subscription success","Newsletter Anmeldung erfolgreich"
"Newsletter unsubscription success","Newsletter Abmeldung erfolgreich"
"No Templates Found","Vorlagentyp"
"Not Activated","Nicht aktiviert"
"Not Sent","Nicht gesendet"
"Pause","Pausieren"
"Paused","Pausiert"
"Please enter a valid email address.","Bitte geben Sie eine gültige E-Mail-Adresse an."
"Preview","Vorschau"
"Preview Template","Vorlagen-Vorschau"
"Processed","Verarbeitet"
"Queue Date Start","Warteschlange Datum Start"
"Queue Information","Warteschlangen-Informationen"
"Queue Start","Warteschlange starten"
"Queue Subject","Betreff der Warteschlange"
"Recipients","Empfänger"
"Reset","Zurücksetzen"
"Resume","Wiederaufnehmen"
"Return HTML Version","HTML-Version ausgeben"
"Save As","Speichern als"
"Save Newsletter","Newsletter speichern"
"Save Template","Vorlage speichern"
"Save and Resume","Speichern und fortsetzen"
"Sender","Absender"
"Sender Email","Absender E-Mail"
"Sender Name","Absendername"
"Sending","Wird gesendet"
"Sent","Gesendet"
"Sign Up for Our Newsletter:","Melden Sie sich für unseren Newsletter an:"
"Start","Starten"
"Store","Shop"
"Subject","Betreff"
"Submit","Absenden"
"Subscribe","Abonnieren"
"Subscribed","Abonniert"
"Subscriber","Abonnent"
"Subscribers","Abonnenten"
"Subscribers From","Abonnenten von"
"Subscription Options","Abonnementoptionen"
"Success Email Sender","Absender für Erfolgs-E-Mail"
"Success Email Template","Vorlage für Erfolgs-E-Mail"
"Template Content","Vorlageninhalt"
"Template Information","Vorlageninformationen"
"Template Name","Vorlagenname"
"Template Styles","Vorlagen-Stile"
"Template Subject","Vorlage-Betreff"
"Template Type","Vorlagentyp"
"Thank you for your subscription.","Vielen Dank für Ihre Anmeldung."
"This email address is already assigned to another user.","Diese E-Mail-Adresse ist bereits einem anderen Nutzer zugewiesen."
"Type","Typ"
"Unconfirmed","Unbestätigte"
"Unsubscribe","Abbestellen"
"Unsubscribe Selected","Ausgewählte abmelden"
"Unsubscribed","Abbestellen"
"Unsubscription Email Sender","Absender Abmeldungs-E-Mail"
"Unsubscription Email Template","Vorlage Abmeldungs-E-Mail"
"View Newsletter","Newsletter anzeigen"
"Website","Webseite"
"Your subscription has been confirmed.","Ihr Abonnement wurde bestätigt."
