"API Login ID","API-Login-ID"
"Accepted Currency","Akzeptierte Währung"
"Authorize Only","Nur autorisieren"
"Authorize and Capture","Autorisieren und Zahlungseinzug"
"Cancel","Stornieren"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkarten Verifizierung"
"Debug","Debuggen"
"Email Customer","Kunden Email"
"Enabled","Aktiviert"
"Invalid amount for capture.","Ungültiger Betrag für Zahlungseinzug."
"Invalid amount for refund.","Ungültiger Betrag für die Rückerstattung."
"Maximum Order Total","Maximalwert für Gesamtbestellung"
"Merchant's Email","Händler Email"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"New Order Status","Neuer Bestellstatus"
"Payment Action","Zahlungsvorgang"
"Payment capturing error.","Fehler bei der Zahlungserfassung."
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Payment refunding error.","Fehler bei der Rückerstattung."
"Payment voiding error.","Fehler beim Annulieren der Zahlung."
"Sort Order","Sortierreihenfolge"
"Test Mode","Test Modus"
"Title","Titel"
"Transaction Key","Transaktionsschlüssel"
"authorize","autorisieren"
"authorize and capture","genehmigen und erfassen"
"capture","erfassen"
"failed","fehlgeschlagen"
"refund","erstatten"
"successful","erfolgreich"
"void","annullieren"
