"""Remember Me"" Default Value","Standardwert ""Angemeldet bleiben"""
"* Required Fields","* Pflichtfelder"
"Address","Adresse"
"Address Information","Adressinformationen"
"Back","Zurück"
"City","Stadt"
"Close","Schließen"
"Company","Firma"
"Confirm Password","Passwort bestätigen"
"Continue","Fortsetzen"
"Country","Land"
"Create an Account","Ein Konto erstellen"
"Email Address","E-Mailadresse"
"Enable ""Remember Me""","Aktivieren Sie ""Angemeldet bleiben"""
"Enable Persistence","Sitzungsdatenspeicherung aktivieren"
"Forgot Your Password?","Passwort vergessen?"
"Forgot your password?","Passwort vergessen?"
"General Options","Allgemeine Optionen"
"Login","Anmelden"
"New Customers","Neue Kunden"
"Password","Passwort"
"Persist Shopping Cart","Persistenter Warenkorb"
"Persistence Lifetime (seconds)","Persistenz Gültigkeitsdauer (Sekunden)"
"Persistent Shopping Cart","Persistenter Warenkorb"
"Personal Information","Persönliche Daten"
"Please select region, state or province","Wählen Sie bitte eine Region, ein Bundesland oder eine Provinz aus"
"Registered Customers","Registrierte Kunden"
"Remember Me","Angemeldet bleiben"
"Save in address book","Im Adressbuch speichern"
"Sign Up for Newsletter","Abonnieren Sie den Newsletter"
"State/Province","Bundesland"
"Street Address","Straße"
"Submit","Absenden"
"VAT Number","USt-IdNr."
"What's this?","Was ist das?"
"Zip/Postal Code","PLZ"
