"* Required Fields","* Απαιτούμενα πεδία"
"ALL GROUPS","ΟΛΕΣ ΟΙ ΟΜΑΔΕΣ"
"Account Dashboard","Πίνακας Λογαριασμού"
"Account Information","Πληροφορίες Λογαριασμού"
"Account Sharing Options","Επιλογές κοινής χρήσης λογαριασμού"
"Action","Ενέργεια"
"Add New Address","Προσθήκη Νέας Διεύθυνσης"
"Add New Customer","Προσθήκη νέου πελάτη"
"Add New Customer Group","Προσθήκη Νέας Ομάδας Πελατών"
"Added From","Προστέθηκε Από"
"Additional Address Entries","Επιπλέον Καταχωρήσεις Διευθύνσεων"
"Address","Διεύθυνση"
"Address Book","Βιβλίο Διευθύνσεων"
"Address Information","Πληροφορίες Διεύθυνσης"
"Address Templates","Πρότυπα Διεύθυνσης"
"Addresses","Διευθύνσεις"
"Admin","Διαχείριση"
"All","Όλα"
"All Store Views","Όλες οι Προβολές Καταστήματος"
"All countries","Όλες οι χώρες"
"Always optional.","Πάντα προαιρετική."
"Amount","Ποσό"
"Approved","Εγκρίθηκε"
"Are you sure that you want to remove this item?","Είστε βέβαιοι πως θέλετε να αφαιρέσετε αυτό το είδος;"
"Are you sure you want to cancel adding of this address?","Είστε βέβαιοι πως θέλετε να ακυρώσετε τη προσθήκη αυτής της διεύθυνσης;"
"Are you sure you want to delete this address?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτή τη διεύθυνση;"
"Are you sure?","Είσαι σίγουρος;"
"Assign a Customer Group","Αντιστοιχίσετε μια Ομάδα Πελατών"
"Average Sale","Μέσος όρος πώλησης"
"Back","Πίσω"
"Back to Login","Πίσω στην Σύνδεση Χρήστη"
"Bad request.","Ακατάλληλη αίτηση."
"Bought From","Αγοράστηκε Από"
"By Email","Μέσω Email"
"By IP","Από IP"
"By IP and Email","Από την IP και Email"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Δημιουργώντας ένα λογαριασμό στο κατάστημά μας, θα έχετε τη δυνατότητα να κινηθείτε γρηγορότερα κατά τη διαδικασία πληρωμής, να εισάγετε πολλαπλές διευθύνσεις αποστολής, να βλέπετε και να παρακολουθείτε τις παραγγελίες σας και πολλά άλλα."
"Cancel","Άκυρο"
"Change Account Password","Αλλαγή Κωδικού Λογαριασμού"
"Change Billing Address","Αλλάξτε τη Διεύθυνση Χρέωσης"
"Change Password","Αλλαγή Κωδικού Πρόσβασης"
"Change Shipping Address","Αλλάξτε τη Διεύθυνση Αποστολής"
"City","Πόλη"
"Company","Εταιρία"
"Config","Διαμόρφωση"
"Configure","Ρύθμιση"
