"Add","Προσθήκη"
"Add New Row","Προσθέσετε νέα γραμμή"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Χαρακτήρες Αλφαριθμητικοί, παύλα και υπογράμμιση συνιστώνται για ονόματα αρχείων. Ανάρμοστοι χαρακτήρες αντικαθίστανται με '_'."
"Availability:","Διαθεσιμότητα:"
"Back","Πίσω"
"Canceled","Ακυρώθηκε"
"Date","Ημερομηνία"
"Default Link Title","Προεπιλεγμένος Τίτλος Συνδέσμου"
"Default Maximum Number of Downloads","Προεπιλεγμένος μέγιστος αριθμός των Μεταφορτώσεων"
"Default Sample Title","Προεπιλεγμένος τίτλος δείγματος"
"Delete","Διαγραφή"
"Disable Guest Checkout if Cart Contains Downloadable Items","Απενεργοποιήστε την Ολοκλήρωση Παραγγελίας Επισκέπτη εάν το καλάθι περιέχει είδη με δυνατότητα λήψης"
"Downloadable Information","Πληροφορίες με Δυνατότητα Λήψης"
"Downloadable Product Options","Επιλογές των προϊόντων με δυνατότητα λήψης"
"Downloadable Product Section","Τμήμα προϊόντος με δυνατότητα λήψης"
"Edit","Επεξεργασία"
"Edit item parameters","Επεξεργαστείτε τις παραμέτρους του στοιχείου"
"Excl. Tax","Χωρίς ΦΠΑ"
"File","Αρχείο"
"From:","Από:"
"Gift Message","Mήνυμα Δώρου"
"Guest checkout will only work with shareable.","Η Ολοκλήρωση Παραγγελίας Επισκέπτη θα λειτουργήσει μόνο με κοινόχρηστο."
"In stock","Σε απόθεμα"
"Incl. Tax","Με ΦΠΑ"
"Invalid download link type.","Άκυρος τύπος σύνδεσμου μεταφόρτωσης."
"Invoiced","Τιμολογημένα"
"Links can be purchased separately","Οι σύνδεσμοι μπορούν να αγοραστούν ξεχωριστά"
"List","Λίστα"
"Max. Downloads","Μεγ. Λήψεις"
"Message:","Μήνυμα:"
"Move","Μετακίνηση"
"My Downloadable Products","Τα προϊόντα μου με δυνατότητα λήψης"
"Open Links in New Window","Άνοιγμα συνδέσμων σε νέο παράθυρο"
"Order #","Παραγγελία #"
"Order Item Status to Enable Downloads","Κατάσταση στοιχείου παραγγελίας για να ενεργοποιήσετε λήψεις"
"Order id cannot be null","Το id της παραγγελίας δεν είναι δυνατό να είναι κενό"
"Order item id cannot be null","Το id του στοιχείου της παραγγελίας δεν είναι δυνατόν να είναι κενό"
"Ordered","Παραγγέλθηκαν"
"Out of stock","Εξαντλημένο"
"Pending","Προς έγκριση"
"Please set resource file and link type.","Παρακαλώ θέστε αρχείο πόρων και τύπο συνδέσμου."
"Please specify product link(s).","Παρακαλούμε προσδιορίστε τον σύνδεσμο(ους) του προϊόντος."
"Price","Τιμή"
"Qty","Ποσότητα"
"Refunded","Επιστράφηκαν"
"Remaining Downloads","Υπόλοιπόμενες λήψεις"
"Remove","Αφαίρεση"
"Remove Item","Αφαίρεση είδους"
"SKU","Κωδικός"
"Sample","Δείγμα"
"See price before order confirmation.","Δείτε την τιμή πριν από την επιβεβαίωση της παραγγελίας."
"Shareable","Κοινόχρηστο"
"Shipped","Αποσταλεί"
"Sorry, there was an error getting requested content. Please contact the store owner.","Λυπούμαστε, Παρουσιάστηκε ένα σφάλμα κατά τη λήψη του περιεχομένου που ζητήθηκε. Επικοινωνήστε με τον ιδιοκτήτη του καταστήματος."
"Sort Order","Σειρά Ταξινόμησης"
"Start Download","Έναρξη λήψης"
"Status","Κατάσταση"
"Subtotal","Υποσύνολο"
"The link has expired.","Ο σύνδεσμος έχει λήξει."
"The link is not available.","Ο σύνδεσμος δεν είναι διαθέσιμος."
"Title","Τίτλος"
"To:","Προς:"
"Unlimited","Απεριόριστα"
"Update","Ενημέρωση"
"Use Content-Disposition","Χρήση διάταξης περιεχομένου"
"Use Default Value","Χρήση Προκαθορισμένης Τιμής"
"View Order","Προβολή Παραγγελίας"
"What's this?","Τι είναι αυτό;"
"You have not purchased any downloadable products yet.","Δεν έχετε αγοράσει κάποιο κατεβάσιμο προϊόν ακόμη."
"attachment","συνημμένο"
"download","λήψη"
"inline","εσωτερικά"
"sample","δείγμα"
