"Add","Προσθήκη"
"Allow Gift Messages for Order Items","Επιτρέψτε Μηνύματα Δώρο για τα Στοιχεία Παραγγελίας"
"Allow Gift Messages on Order Level","Επιτρέψτε Μηνύματα Δώρο σε Επίπεδο Παραγγελίας"
"Are you sure?","Είσαι σίγουρος;"
"Cancel","Άκυρο"
"Do you have any gift items in your order?","Έχετε οποιαδήποτε είδη δώρων στην παραγγελία σας;"
"Edit","Επεξεργασία"
"From","Από"
"Gift Message","Mήνυμα Δώρου"
"Gift Options","Επιλογές δώρου"
"Gift Options for Individual Items","Επιλογές Δώρου για Μεμονωμένα Στοιχεία"
"Item %d of %d","Είδος %d από %d"
"Message","Μήνυμα"
"No","Όχι"
"OK","Οκ"
"Save Gift Message","Αποθηκεύστε το Μήνυμα Δώρου"
"To","Έως"
"Unknown entity type","Άγνωστος Τύπος Οντότητας"
"Use config","Χρήση Ρυθμήσεων"
"Yes","Ναί"
