" Copy"," Αντιγραφή"
"Action","Ενέργεια"
"Add New Template","Προσθήκη Νέου Πρότυπου"
"Add to Queue","Προσθήκη στην ουρά"
"Allow Guest Subscription","Επιτρέψτε Εγγραφή Επισκεπτών"
"Are you sure that you want to delete this template?","Είστε βέβαιοι πως θέλετε να διαγράψετε αυτό το πρότυπο(template);"
"Are you sure that you want to strip all tags?","Είστε βέβαιοι ότι θέλετε να αφαιρέσετε όλες τις ετικέτες;"
"Back","Πίσω"
"Cancel","Άκυρο"
"Cancelled","Ακυρώθηκε"
"Confirmation Email Sender","Αποστολέας Email Επιβεβαίωσης"
"Confirmation Email Template","Προτύπου Email επιβεβαίωσης"
"Convert to Plain Text","Μετατροπή σε απλό κείμενο"
"Create Newsletter Template","Δημιουργία προτύπου ενημερωτικού δελτίου"
"Customer","Πελάτης"
"Customer First Name","Όνομα πελάτη"
"Customer Last Name","Επώνυμο πελάτη"
"Date Added","Ημερομηνίας Προσθήκης"
"Date Updated","Ημερομηνία που Ενημερώθηκε"
"Delete","Διαγραφή"
"Delete Selected Problems","Διαγραφή επιλεγμένων προβλημάτων"
"Delete Template","Διαγραφή προτύπου"
"Do you really want to cancel the queue?","Θέλετε πραγματικά να ακυρώσετε την ουρά;"
"Edit Newsletter","Επεξεργασία ενημερωτικού δελτίου"
"Edit Newsletter Template","Επεξεργασία προτύπου ενημερωτικού δελτίου"
"Edit Queue","Επεξεργασία Ουράς"
"Edit Template","Επεξεργασία προτύπου"
"Enter your email address","Εισάγετε την ηλεκτρονική σας διεύθυνση"
"Error Code","Κωδικός σφάλματος"
"Error Text","Κείμενο Σφάλματος"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Ακολουθήστε αυτό το σύνδεσμο για να διαγραφείτε <!--Αυτή η ετικέτα είναι για σύνδεσμο unsubscribe--><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Επισκέπτης"
"Message","Μήνυμα"
"Need to Confirm","Πρέπει να επιβεβαιώσετε"
"New Newsletter Template","Νέο πρότυπο ενημερωτικού δελτίου"
"New Template","Νέο πρότυπο"
"Newsletter","Ενημερωτικό δελτίο"
"Newsletter Message Preview","Προεπισκόπηση Μηνύματος Ενημερωτικού Δελτίου"
"Newsletter Problem Reports","Αναφορές Προβλημάτων Ενημερωτικού Δελτίου"
"Newsletter Queue","Ουρά Ενημερωτικού Δελτίου"
"Newsletter Section","Τμήμα ενημερωτικού δελτίου"
"Newsletter Styles","Στυλ ενημερωτικού δελτίου"
"Newsletter Subscribers","Συνδρομητές Ενημερωτικών Δελτίων"
"Newsletter Subscription","Συνδρομή στο Ενημερωτικό δελτίο"
"Newsletter Subscriptions","Συνδρομές σε Ενημερωτικά Δελτία"
"Newsletter Templates","Πρότυπα Ενημερωτικού Δελτίου"
"Newsletter subscription confirmation","Επιβεβαίωση της εγγραφής σε Ενημερωτικό δελτίο"
"Newsletter subscription success","Επιτυχία εγγραφής σε Ενημερωτικό δελτίο"
"Newsletter unsubscription success","Επιτυχία διαγραφής από Ενημερωτικό δελτίο"
"No Templates Found","Δεν Βρέθηκε Κανένα Πρότυπο"
"Not Activated","Δεν Ενεργοποιήθηκε"
"Not Sent","Δεν αποστάλθηκε"
"Pause","Παύση"
"Paused","Σε παύση"
"Please enter a valid email address.","Παρακαλώ εισάγετε μια έγκυρη διεύθυνση email."
"Please enter new template name","Παρακαλούμε εισάγετε νέο όνομα Προτύπου(Template)"
"Please select subscriber(s)","Παρακαλούμε επιλέξτε συνδρομητή(ες)"
"Preview","Προεπισκόπηση"
"Preview Template","Προεπισκόπηση Προτύπου"
"Processed","Επεξεργασία"
"Queue Date Start","Ουρά ημερομηνίας έναρξης"
"Queue Finish","Τέλος Ουράς"
"Queue Information","Πληροφορίες ουράς"
"Queue Start","Αρχή Ουράς"
"Queue Subject","Θέμα Ουράς"
"Recipients","Παραλήπτες"
"Reset","Επαναφορά"
"Resume","Συνέχιση"
"Return HTML Version","Επιστροφή έκδοσης HTML"
"Save As","Αποθήκευση ως"
"Save Newsletter","Αποθήκευση ενημερωτικού δελτίου"
"Save Template","Αποθήκευση προτύπου"
"Save and Resume","Αποθήκευση και Επιστροφή"
