"-- Please Select --","--Παρακαλώ επιλέξτε--"
"Add New Class","Προσθήκη Νέας Κλάσης"
"Add New Tax Rate","Προσθήκη Νέου Φορολογικού Συντελεστή"
"Add New Tax Rule","Προσθέστε νέο φορολογικό κανόνα"
"After Discount","Μετά την έκπτωση"
"Apply Customer Tax","Εφαρμογή Φόρου Πελάτη"
"Apply Discount On Prices","Εφαρμογή έκπτωσης στις τιμές"
"Apply Tax On","Εφαρμογή φόρου σε"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"Back","Πίσω"
"Before Discount","Πριν από την έκπτωση"
"Calculation Settings","Ρυθμίσεις υπολογισμού"
"Catalog Prices","Τιμές Kαταλόγου"
"Class Name","Όνομα Κλάσης"
"Code","Κωδικός"
"Country","Χώρα"
"Custom price if available","Προσαρμοσμένη τιμή εάν είναι διαθέσιμη"
"Customer Tax Class","Φορολογική κατηγορία πελάτη"
"Customer Tax Class Information","Πληροφορίες Φορολογικής Κλάσης Πελάτη"
"Customer Tax Classes","Φορολογικές Κατηγορίες Πελατών"
"Default Country","Προεπιλεγμένη Χώρα"
"Default Post Code","Προεπιλεγμένος Ταχυδρομικός Κώδικας"
"Default State","Προεπιλεγμένη Πολιτεία"
"Default Tax Destination Calculation","Υπολογισμός Προεπιλεγμένου Φόρου Προορισμού"
"Delete Class","Διαγραφή Κλάσης"
"Delete Rate","Διαγραφή του ποσοστού"
"Delete Rule","Διαγραφή του κανόνα"
"Display Full Tax Summary","Εμφάνιση Σύνοψης όλων των Φόρων"
"Display Prices","Εμφάνιση τιμών"
"Display Product Prices In Catalog","Εμφάνιση τιμών των προϊόντων στον κατάλογο"
"Display Shipping Amount","Εμφάνιση Ποσού Αποστολής"
"Display Shipping Prices","Εμφάνιση τιμών αποστολής"
"Display Subtotal","Εμφάνιση υποσυνόλου"
"Display Zero Tax Subtotal","Εμφάνιση Μηδενικού Υποσυνόλου Φόρων"
"Edit Class","Επεξεργασία Κλάσης"
"Edit Class '%s'","Επεξεργασία Κλάσης '%s'"
"Edit Rule","Επεξεργασία Ρόλου"
"Edit Tax Rate","Επεξεργαστείτε το φορολογικό συντελεστή"
"Enable Cross Border Trade","Ενεργοποίηση Διασυνοριακού Εμπορίου"
"Excl. Tax","Χωρίς ΦΠΑ"
"Excluding Tax","Εκτός φόρων"
"Export Tax Rates","Εξαγωγή Συντελεστών ΦΠΑ"
"Grand Total (Excl. Tax)","Γενικό σύνολο (χωρίς ΦΠΑ)"
"Grand Total (Excl.Tax)","Γενικό σύνολο (χωρίς ΦΠΑ)"
"Grand Total (Incl. Tax)","Γενικό σύνολο (με ΦΠΑ)"
"Grand Total (Incl.Tax)","Γενικό σύνολο (με ΦΠΑ)"
"Grand Total Excl. Tax","Γενικό σύνολο χωρίς ΦΠΑ"
"Grand Total Incl. Tax","Γενικό σύνολο με ΦΠΑ"
"Import / Export Tax Rates","Εισαγωγή / Εξαγωγή Φορολογικών Συντελεστών"
"Import Tax Rates","Εισαγωγή Συντελεστών ΦΠΑ"
"Inc. Tax","Περιλ. ΦΠΑ"
"Incl. Tax","Με ΦΠΑ"
"Including Tax","Περιλαμβάνει Φόρο"
"Including and Excluding Tax","Με και Χωρίς Φόρο"
"Invalid file format upload attempt","Προσπάθεια φόρτωσης αρχείου με μη έγκυρη μορφοποίηση"
"Invalid file upload attempt","Ανεπιτυχής προσπάθεια αποστολής αρχείου"
"Product Tax Classes","Φορολογικές Κλάσεις Προϊόντος"
"Tax Rates","Φορολογικοί Συντελεστές"
"Tax Rules","Φορολογικές Διατάξεις"
"Name","Όνομα"
"New Class","Νέα Κλάση"
"New Rule","Νέος Κανόνας"
"New Tax Rate","Νέος φορολογικός συντελεστής"
"No","Όχι"
"None","Κανένα"
"Orders, Invoices, Credit Memos Display Settings","Ρυθμίσεις Προβολής για Παραγγελίες, Τιμολόγια, Πιστωτικά Υπομνήματα"
"Original price only","Αρχική τιμή μόνο"
"Price Display Settings","Ρυθμίσεις προβολής τιμών"
"Priority","Προτεραιότητα"
"Product Tax Class","Φορολογική κατηγορία προϊόντος"
"Product Tax Class Information","Πληροφορίες Φορολογικής Κλάσης Προϊόντος"
"Range From","Κυμαίνονται από"
"Range To","Κυμαίνονται σε"
"Range To should be equal or greater than Range From.","Το εύρος πρέπει να είναι ίσο ή μεγαλύτερο από το εύρος Από."
"Rate","Ποσοστό"
"Rate Percent","Ποσοστό τοις εκατό"
"Reset","Επαναφορά"
"Row Total","Άθροισμα Σειράς"
"Sales","Πωλήσεις"
"Save Class","Αποθήκευση Κλάσης"
"Save Rate","Αποθηκεύση Ποσοστού"
"Save Rule","Αποθήκευση Κανόνα"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Shipping & Handling (Excl.Tax)","Μεταφορικά & Διεκπεραιωτικά (χωρίς ΦΠΑ)"
"Shipping & Handling (Incl.Tax)","Μεταφορικά & Διεκπεραιωτικά (με ΦΠΑ)"
"Shipping (Excl. Tax)","Μεταφορικά (χωρίς ΦΠΑ)"
"Shipping (Incl. Tax)","Μεταφορικά (με ΦΠΑ)"
"Shipping Prices","Τιμές Αποστολής"
"Shopping Cart Display Settings","Ρυθμίσεις Προβολής Καλαθιού Αγορών"
"Sort Order","Σειρά Ταξινόμησης"
"State","Κατάσταση"
"State/Region","Πολιτεία/Περιοχή"
"Subtotal (Excl. Tax)","Υποσύνολο (χωρίς ΦΠΑ)"
"Subtotal (Excl.Tax)","Υποσύνολο (χωρίς ΦΠΑ)"
"Subtotal (Incl. Tax)","Υποσύνολο (με ΦΠΑ)"
"Subtotal (Incl.Tax)","Υποσύνολο (με ΦΠΑ)"
"Tax","Φόροι"
"Tax Calculation Based On","Υπολογισμός Φόρου Βάση"
"Tax Calculation Method Based On","Μέθοδος υπολογισμού φόρων με βάση"
"Tax Class for Shipping","Φορολογική Κλάση για την Αποστολή"
"Tax Classes","Τάξεις φορολογίας"
"Tax Identifier","Αναγνωριστικό Φόρου"
"Tax Rate","Φορολογικός συντελεστής"
"Tax Rate Information","Πληροφορίες Φορολογικών Ποσοστών"
"Tax Rule Information","Κανόνας Φορολογικών Στοιχείων"
"Tax Titles","Τίτλοι Φόρων"
"Tax rates at the same priority are added, others are compounded.","Οι φορολογικοί συντελεστές με την ίδια προτεραιότητα προστίθονται, οι άλλοι συνενώνονται."
"The tax rate has been imported.","Ο φορολογικός συντελεστής έχει εισαχθεί."
"The tax rule has been deleted.","Ο κανόνας του φόρου έχει διαγραφεί."
"This class no longer exists","Αυτή η κλάση πλέον δεν υπάρχει"
"This rule no longer exists","Αυτός ο κανόνας πλέον δεν υπάρχει"
"This rule no longer exists.","Ο κανόνας αυτός δεν υπάρχει πια."
"Total","Σύνολο"
"Unit Price","Τιμή Mονάδoς"
"Yes","Ναί"
"You cannot delete this tax class as it is used for %d customer groups.","Δε μπορείτε να διαγράψετε αυτή τη φορολογική κλάση γιατί χρησιμοποιείται για %d ομάδες πελατών."
"You cannot delete this tax class as it is used for %d products.","Δε μπορείτε να διαγράψετε αυτή τη φορολογική κλάση γιατί χρησιμοποιείται για %d προϊόντα."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Δε μπορείτε να διαγράψετε αυτή τη φορολογική κλάση γιατί χρησιμοποιείται στους Φορολογικούς Κανόνες. Πρώτα πρέπει να διαγράψετε τους κανόνες στους οποίους χρησιμοποιείται."
"Zip/Post Code","Ταχυδρομικός Κώδικας"
"Zip/Post is Range","Ταχυδρομικός Κώδικας είναι Εύρος"
