"<strong>Attention</strong>: Captcha is case sensitive.","<Strong> Perhatian </ strong>: Captcha adalah kasus sensitif."
"After number of attempts to login","Setelah sejumlah upaya untuk login"
"Always","Selalu"
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (menit)"
"Case Sensitive","Kasus Sensitif"
"Displaying Mode","Menampilkan Mode"
"Enable CAPTCHA in Admin","Aktifkan CAPTCHA dalam Admin"
"Forms","Form"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Jika 0 ditentukan, CAPTCHA pada form Login akan selalu tersedia."
"Incorrect CAPTCHA.","Captcha yang salah."
"Number of Symbols","Jumlah Simbol"
"Number of Unsuccessful Attempts to Login","Jumlah kegagalan upaya untuk login"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Sebutkan paling banyak 8 simbol. Kisaran diperbolehkan (misalnya 3-5)"
"Reload captcha","Muat Ulang Captcha"
"Symbols Used in CAPTCHA","Simbol Terpakai dalam CAPTCHA"
