"* Required Fields","* Bidang yang harus Diisi"
"Add New Address","Tambahkan alamat baru"
"Add New Condition","Tambahkan Kondisi Baru"
"Add to Cart","Tambahkan ke Keranjang"
"Add to Compare","Tambahkan untuk Membandingkan"
"Add to Wishlist","Tambahkan ke Daftar Keinginan"
"Address","Alamat"
"After Adding a Product Redirect to Shopping Cart","Setelah Menambah Pengalihan Produk ke Keranjang Belanja"
"Allow Guest Checkout","Izinkan Tamu Checkout"
"Apply","Terapkan"
"Apply Coupon","Terapkan Kupon"
"Back","Kembali"
"Back to Billing Information","Kembali ke Informasi Penagihan"
"Back to Select Addresses","Kembali ke Pilihan Alamat"
"Back to Shipping Information","Kembali ke Informasi Pengiriman"
"Back to Shopping Cart","Kembali ke Keranjang Belanja"
"Billing Address","Alamat tagihan"
"Billing Information","Informasi Penagihan"
"Cancel","Batal"
"Cancel Coupon","Batalkan Kupon"
"Cannot process the item.","Tidak dapat memproses item."
"Card Verification Number Visual Reference","Nomor Referensi Visual Verifikasi Kartu"
"Change","Perubahan"
"Change Billing Address","Mengubah Alamat Billing"
"Checkbox Text","Teks kotak centang"
"Checkout Conditions","Periksa Kondisi"
"Checkout Options","Pilihan Checkout"
"Checkout Terms and Conditions","Syarat Dan ketentuan checkout"
"City","Kota"
"Clear Shopping Cart","Hapus Daftar Belanja"
"Close","Tutup"
"Company","Perusahaan"
"Condition Name","Nama Kondisi"
"Configurable Product Image","Gambar Produk yang Dikonfigurasi"
"Confirm Password","Konfirmasi sandi"
"Content","Konten"
"Content Height","Ketinggian Konten"
"Content Height (css)","Tinggi Konten (css)"
"Continue","Selanjutnya"
"Continue Shopping","Lanjutkan Belanja"
"Continue to Billing Information","Lanjutkan ke Informasi Penagihan"
"Country","Negara"
"Create Billing Address","Buat Alamat Penagihan"
"Create Shipping Address","Buat Alamat Pengiriman"
"Customer Information","Informasi pelanggan"
"Data saving problem","Data penyimpanan bermasalah"
"Delete Condition","Hapus Kondisi"
"Details","Rincian"
"Disabled","Matikan"
"Display Cart Summary","Ringkasan Keranjang Belanja"
"Display item quantities","Tampilkan banyaknya barang"
"Display number of items in cart","Tampilan jumlah item dalam keranjang"
"Edit","Ubah"
"Edit Address","Edit alamat"
