"-- Please select --","-- Silahkan Pilih --"
"Allowed Currencies","Mata uang yang Diizinkan"
"Base Currency","Mata uang Dasar"
"Connection Timeout in Seconds","Waktu Sambungan Habis dalam Detik"
"Country","Negara"
"Country and Format Type combination should be unique","Negara dan Tipe Format harus kombinasi unik"
"Currency","Mata Uang"
"Currency Options","Opsi Mata uang"
"Currency Setup","Mempersiapkan Mata uang"
"Currency Update Warnings","Peringatan Pembaruan Mata uang"
"Default Display Currency","Tampilan Default Mata uang"
"Enabled","Diaktifkan"
"Error Email Recipient","Kesalahan Email Penerima"
"Error Email Sender","Kesalahan Email Pengirim"
"Error Email Template","Kesalahan Template Email"
"FATAL ERROR:","KESALAHAN FATAL:"
"Frequency","Frekuensi"
"Installed Currencies","Mata uang Terpasang"
"Scheduled Import Settings","Pengaturan Jadwal Impor"
"Service","Layanan"
"Start Time","Waktu mulai"
"State/Province","Negara/Provinsi"
"WARNING:","PERINGATAN:"
