"Action","Tindakan"
"Add","Tambahkan"
"Add to Cart","Tambahkan ke Keranjang"
"Add to Wishlist","Tambahkan ke Daftar Keinginan"
"Approved","Disetujui"
"Are you sure you want to do this?","Apakah anda yakin ingin melakukan ini?"
"Are you sure?","Apakah Anda Yakin?"
"Back","Kembali"
"Block Information","Informasi Blok"
"Change status","Ganti Status"
"Country","Negara"
"Customer Since","Sejak pelanggan"
"Customers","Pelanggan"
"Delete","Hapus"
"Disabled","Matikan"
"First Name","Nama Depan"
"General Information","Informasi Umum"
"Grid","Kisi-kisi"
"ID","Nomor"
"Last Name","Nama Belakang"
"List","Daftar"
"Name","Nama"
"Pending","Ditunda"
"Price","Harga"
"Product Name","Nama Produk"
"Products","Produk"
"Remove","Menghapus"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Status","Keadaan"
"Store View","Tampilan toko"
"Tags","Tag"
"Update","Perbarui"
"ZIP/Post Code","POS/Kode Pos"
"[STORE VIEW]","[TAMPILAN TOKO]"
