"-- Please Select --","-- Tolong Pilih --"
"Actions","Tindakan"
"All","Semua"
"Apply","Terapkan"
"Big Image","Gambar Besar"
"Categories","Kategori"
"Close","Tutup"
"Continue","Selanjutnya"
"Default Template","Template Standar"
"Delete","Hapus"
"Export to:","Ekspor ke:"
"Images","Gambar"
"Next page","Halaman selajutnya"
"Open Chooser","Buka pilihan"
"Page","Halaman"
"Previous page","Halaman sebelumnya"
"Products","Produk"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Select All","Pilih Semua"
"Select Visible","Pilih Terlihat"
"Settings","Pengaturan"
"Sort Order","Urutan"
"The information in this tab has been changed.","Informasi dalam tab ini telah berubah."
"Thumbnail","Privew Gambar"
"Type","Jenis"
"Unselect All","Tidak dipilih semua"
"Unselect Visible","Tidak dipilih Terlihat"
"View","Lihat"
"per page","per halaman"
