"Add","Agregar"
"Allow Gift Messages for Order Items","Permitir mensajes de regalo en artículos pedidos"
"Allow Gift Messages on Order Level","Permitir mensajes de regalo en nivel de pedido"
"Are you sure?","¿Estás seguro?"
"Cancel","Cancelar"
"Do you have any gift items in your order?","¿Tiene artículos de regalo en su pedido?"
"Edit","Editar"
"From","De"
"Gift Message","Mensaje de regalo"
"Gift Options","Opciones de regalo"
"Gift Options for Individual Items","Opciones de regalo para artículos individuales"
"Message","Mensaje"
"No","No 	"
"OK","Aceptar"
"Save Gift Message","Guardar mensaje de regalo"
"To","Para"
"Unknown entity type","Tipo de entidad desconocido"
"Use config","Configuración de uso"
"Yes","Si"
