"-- Please Select --","-- Por favor Seleccione --"
"Add New Class","Añadir nueva clase fiscal"
"Add New Tax Rate","Añadir nueva tasa impositiva"
"Add New Tax Rule","Añadir nueva regla fiscal"
"After Discount","Después del descuento"
"Apply Customer Tax","Aplicar tasa de cliente"
"Apply Discount On Prices","Aplicar descuento en precios"
"Apply Tax On","Aplicar impuestos sobre"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Back","Volver"
"Before Discount","Antes del descuento"
"Calculation Settings","Ajustes de cálculo"
"Catalog Prices","Precios de catálogo"
"Code","Código"
"Country","País"
"Custom price if available","Precio personalizado si está disponible"
"Customer Tax Class","Clase de impuestos del cliente"
"Customer Tax Classes","Clases de impuestos del cliente"
"Default Country","País (predeterminado)"
"Default Post Code","Código de mensaje predeterminado"
"Default State","Estado por defecto"
"Default Tax Destination Calculation","Cálculo de impuestos basado en (predeterminado)"
"Delete Rate","Eliminar índice"
"Delete Rule","Eliminar regla"
"Display Full Tax Summary","Mostrar Resumen de impuestos"
"Display Prices","Mostrar precios"
"Display Product Prices In Catalog","Mostrar precios de los artículos en catálogo"
"Display Shipping Amount","Mostrar importe de envío"
"Display Shipping Prices","Mostrar precios de envío"
"Display Subtotal","Mostrar subtotal"
"Display Zero Tax Subtotal","Mostrar el subtotal aunque sea cero"
"Edit Rule","Editar Regla"
"Edit Tax Rate","Editar indicador de impuesto"
"Enable Cross Border Trade","Permitir operaciones transfronterizas"
"Excl. Tax","Impuestos no incluídos"
"Excluding Tax","Impuestos no incluídos"
"Export Tax Rates","Exportar tasas de impuestos"
"Grand Total (Excl. Tax)","Total general (sin impuestos)"
"Grand Total (Excl.Tax)","Total (impuestos no incluídos)"
"Grand Total (Incl. Tax)","Total general (con impuestos)"
"Grand Total (Incl.Tax)","Total (impuestos incluídos)"
"Grand Total Excl. Tax","Total sin incluir impuestos"
"Grand Total Incl. Tax","Total incluyendo impuestos"
"Import Tax Rates","Importar tasas de impuestos"
"Inc. Tax","Impuestos incluídos"
"Incl. Tax","Incl. impuestos"
"Including Tax","Impuestos incluídos"
"Including and Excluding Tax","Inclusión y exclusión de impuestos"
"Invalid file upload attempt","Intento de subida de archivo no válido"
"Tax Rates","Tarifa de impuestos"
"Tax Rules","Reglas de impuestos"
"Name","Nombre"
"New Rule","Nueva Regla"
"New Tax Rate","Nueva tarifa de impuesto"
"No","No 	"
"None","Ninguno"
"Orders, Invoices, Credit Memos Display Settings","Ajustes de visualización para pedidos, facturas y facturas rectificativas"
"Original price only","Sólo precio original"
"Price Display Settings","Ajustes de visualización para precios"
"Priority","Prioridad"
"Product Tax Class","Clase de impuestos del artículo"
"Range From","Intervalo desde"
"Range To","Intervalo hasta"
"Range To should be equal or greater than Range From.","El rango superior debe ser igual o superior al rango inferior."
"Rate","Tasa"
"Rate Percent","Tasa de porcentaje"
"Reset","Restablecer"
"Row Total","Fila total"
"Sales","Ventas"
"Save Rate","Guardar tarifa"
"Save Rule","Guardar regla"
"Save and Continue Edit","Guardar y continuar editando"
"Shipping & Handling (Excl.Tax)","Envío y servicio (impuestos no incluídos)"
"Shipping & Handling (Incl.Tax)","Envío y servicio (impuestos incluídos)"
"Shipping (Excl. Tax)","Envío (impuestos no incluídos)"
"Shipping (Incl. Tax)","Envío (impuestos incluídos)"
"Shipping Prices","Precios de envío"
"Shopping Cart Display Settings","Ajustes de visualización para el carrito de compras"
"Sort Order","Ordenación"
"State","Comunidad Autónoma"
"State/Region","Estado/región"
"Subtotal (Excl. Tax)","Subtotal (Excl. impuestos)"
"Subtotal (Excl.Tax)","Subtotal (excl. impuestos)"
"Subtotal (Incl. Tax)","Subtotal (Incl. tax.)"
"Subtotal (Incl.Tax)","Subtotal (incl. impuestos)"
"Tax","Impuesto"
"Tax Calculation Based On","Cálculo tributario basado en"
"Tax Calculation Method Based On","Método de cálculo tributario basado en"
"Tax Class for Shipping","Clase de impuestos para envíos"
"Tax Classes","Clases de impuestos"
"Tax Identifier","Identificador tributario"
"Tax Rate","Tarifa de impuestos"
"Tax Rate Information","Información sobre tarifas de impuestos"
"Tax Rule Information","Información sobre reglas tributarias"
"Tax Titles","Impuesto sobre títulos"
"Tax rates at the same priority are added, others are compounded.","Las tarifas tributarias con la misma prioridad son añadidas, las demás son compuestas."
"The tax rate has been imported.","La tasa de impuesto se ha importado."
"The tax rule has been deleted.","Esta regla tributaria ha sido eliminada."
"This rule no longer exists.","Esta regla ya no existe."
"Total","Totals"
"Unit Price","Precio Unitario"
"Yes","Si"
"Zip/Post Code","CP/Código postal"
"Zip/Post is Range","Sólo para ciertos códigos postales"
