"-- Please Select --","Elegir"
"Add Block Names to Hints","Añadir Bloque Nombres a Sugerencias"
"Add Secret Key to URLs","Agregar clave secreta a URLs"
"Add Store Code to Urls","Agregar código secreta a Urls"
"Advanced","Avanzado"
"Allowed IPs (comma separated)","Permitir IPs (separado por comas)"
"Are you sure?","¿Está usted seguro?"
"Back","Atrás"
"Block with name ""%s"" already exists","Bloque con el nombre ""%s"" ya existe"
"Can't retrieve request object","No se ha obtenido el objeto solicitado"
"Cancel","Cancelar"
"Country","País"
"Custom Design","Diseño Personalizado"
"Dashboard","Panel"
"Date From","Desde Fecha"
"Date To","Fecha Para"
"Default","Defecto"
"Default Title","Título por Defecto"
"Delete","Borrar"
"Delete Store View","Borrar Vista de Tienda"
"Delete Website","Borrar Website"
"Design","Diseño"
"Edit Website","Editar sitio web"
"Empty main table name","Nombre de tabla principal vacío"
"Enabled","Habilitado"
"Error in file: ""%s"" - %s","Error en el archivo: ""%s"" - %s"
"File system","Sistema de archivos"
"General Settings","Configuraciones Generales"
"Invalid block type: %s","Tipo de bloque incorercto: %s"
"Invalid block: %s","Bloque no válido: %s"
"Invalid messages storage ""%s"" for layout messages initialization","Mensaje de almacenamiento ""%s"" incorrecto para la inicialización de los mensajes de diseño"
"Name","Nombre"
"New Website","Nuevo Sitio Web"
"Save","Guardar"
"Sort Order","Ordenar por tipo"
"Status","Estado"
"Store","Tienda"
"System","Sistema"
"Transactional Emails","Emails de transacciones"
"Unable to proceed. Please, try again","Imposible proceder. Por favor intente más tarde"
"None","Ninguno"
"Website","Sitio Web"
"Wrong number of arguments for %s","Número de argumentos incorrecto para %s"
"Yes","Si"
