"Actions","Acciones"
"Add Answer","Nueva Respuesta"
"Add New Answer","Añadir Nueva Respuesta"
"Add New Poll","Añadir Nueva Encuesta"
"Answer Title","Titulo de Respuesta"
"Answer Title:","Titulo de Respuesta:"
"Answer with the same title in this poll","Responda con el mismo título de esta encuesta"
"Are you sure you want to delete it?","¿Usted está seguro que deseas eliminarlo?"
"Assigned Answers","Respuestas Asignados"
"Closed","Cerrado"
"Community Poll","Comunidad de encuestas"
"Date Closed","Fecha de Cierre"
"Date Posted","Fecha de Publicación"
"Delete","Borrar"
"Delete Answer","Eliminar Respuesta"
"Delete Poll","Eliminar Encuesta"
"Edit Answer '%s'","Editar Respuesta '%s'"
"Edit Poll '%s'","Editar Encuesta '%s'"
"Edit Poll Answer","Editar Respuesta de Encuesta"
"New Poll","Nueva Encuesta"
"Number of Responses","Número de Respuestas"
"Poll Answers","Respuestas de la Encuesta"
"Poll Information","Información de la Encuesta"
"Poll Manager","Gestionar encuestas"
"Poll Question","Pregunta de la Encuenta"
"Poll information","Información de la Encuesta"
"Poll with the same question","Encuesta con la misma pregunta"
"Save Answer","Guardar Respuesta"
"Save Poll","Guarar Encuesta"
"Status","Estado"
"Vote","Votar"
"Votes Count","Conteo de Votos"
"Votes Count:","Conteo de Votos:"
