"Alert Email Sender","Remitente del Correo de Avisos"
"Click here not to receive alerts for this product","Clic aquí para no recibir avisis para este producto"
"Error Email Recipient","Error en Destinatario de Correo Electronico"
"Error Email Sender","Error en Remitente de Correo Electronico"
"Error Email Template","Error en Plantilla de Correo Electronico"
"Frequency","Frequencia"
"Price:","Precio:"
"Product Alerts","Alertas de Producto"
"Product Alerts Run Settings","Ejecutar configuración de avisos de productos"
"Product alerts Cron error","Error del Cron de aviso de productos"
"Product price alert","Aviso de Precio de Productos"
"Product stock alert","Aviso de Existencia de Productos"
"Regular Price:","Precio Habitual:"
"Sign up for price alert","Registrarse para avisos de precios "
"Sign up to get notified when this product is back in stock","Registrarse para avisarle cunado el producto vuelva a tener existencia"
"Special price:","Precio Especial:"
"Start Time","Hora de inicio"
"Unsubscribe from all price alerts","Darse de baja para todos los avisos de precios"
"Unsubscribe from all stock alerts","Darse de baja para todos los avisos de existencia"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Usted está recibiendo esta notificación debido a se suscribió para recibir avisos cuando los siguientes productos estén con existencia:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Usted está recibiendo esta notificación debido a se suscribió para recibir avisos cuando cambien los precios de los siguientes productos:"
