"# of Items (and above)","# de Artículos (y sobre)"
"# of Items vs. Destination","# de Artículos vs. Destino"
"Calculate Handling Fee","Calcular Tarifa por Transporte"
"Carrier:","Encargado de Despacho:"
"City","Ciudad"
"Close Window","Cerrar Ventana"
"Condition","Condición"
"Country","País"
"Date","Fecha"
"Delivered on:","Enviado en:"
"Delivered to:","Despachado a:"
"Description","Descripción"
"Enabled","Habilitado"
"Export","Exportar"
"Fixed","corregido"
"Google Sitemap Section","Sección Google Sitemap"
"Import","Importar"
"Invalid Table Rate code for type %s: %s","Código para el tipo de la tabla de tasas incorrecto %s: %s"
"Invalid Table Rate code type: %s","Código tipo de la tabla de tasas incorrecto: %s"
"Invalid Table Rates File Format","Incorrecta Tabla Tarifas Formato de Archivo"
"Local Time","Hora Local"
"N/A","N/D"
"None","Ninguno"
"Options","Opciones"
"Order Subtotal (and above)","Subtotal del Pedido (y arriba)"
"Origin","Origen"
"Per Order","Por Orden"
"Per Package","Por Paquete"
"Price","Precio"
"Price vs. Destination","Precio vs. Destino"
"Region/State","Region/Estado"
"Service Type:","Tipo de Servicio:"
"Shipped or billed on:","Enviado o facturado en:"
"Shipping Methods","Métodos de Envío"
"Shipping Methods Section","Sección Metodos de Envío"
"Shipping Settings","Configuración del Envío"
"Shipping Settings Section","Sección Configuración del Envío"
"Signed by:","Firmado por:"
"Sort Order","Ordenar por tipo"
"Store Pickup","Recoger en tienda"
"Street Address","Dirección"
"There is no tracking available for this shipment.","No hay seguimiento disponible para este envío."
"There is no tracking available.","No hay seguimiento disponible."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método del envío está disponible. Si usted quisiera que enviáramos el uso de este método de envío, por favor póngase en contacto con nosotros."
"Title","Titulo"
"Track:","Seguir:"
"Tracking Number:","Numero de Seguimiento:"
"Tracking information is currently not available. Please ","Seguimiento de la información no está disponible actualmente. Por Favor "
"Tracking information is currently unavailable.","Seguimiento de la información no está disponible actualmente."
"Type","Tipo"
"Weight (and above)","Peso (y arriba)"
"Weight vs. Destination","Peso vs. Destino"
"Weight:","Peso:"
"contact us","contactenos"
