"Admin","Administrador"
"Created At","Creado el"
"Customer","Cliente"
"Delete","Borrar"
"Disable","Deshabilitar"
"Disabled","Deshabilitado"
"Edit","Editar"
"Email","Correo electrónico"
"Email Address","Dirección de correo electrónico"
"Enable","Habilitar"
"Enabled","Habilitado"
"Log In","Iniciar sesión"
"Login","Ingresar"
"Name","Nombre"
"Password","Contraseña"
"Permissions","Permisos"
"Role Name","Nombre del rol"
"Save","Guardar"
"Status","Estado"
"System","Sistema"
"User ID","ID del usuario"
"User Name","Nombre del usuario"
