"%s Item(s)","%s Artículo(s)"
"(ver. %s)","(Ver. %s)"
"-- Please Select --","-- Por favor, seleccione --"
"Close Window","Cerrar Ventana"
"Empty","Vacío"
"Help Us to Keep Magento Healthy","Ayúdenos a mantener saludable a OpenMage"
"Interface Language","Idioma de la interfase"
"Items %s to %s of %s total","Artículos %s a %s de %s totales"
"Next","Siguiente"
"Page:","Página:"
"Previous","Anterior"
"Report All Bugs","Informar las fallas"
"Search","Buscar"
"Select Store","Seleccionar tienda"
"Show","Mostrar"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta es una tienda de demostración. Cualquier pedido realizado a través de esta tienda no será procesado ni atendido."
"View All","Ver todo"
"Welcome, %s!","Bienvenido, %s!"
"Your Language","Idioma"
"per page","por página"
