"Abandoned carts","Carritos abandonados"
"Action","Acción"
"Add to Cart","Añadir a Carrito"
"Add to Compare","Añadir a Comparar"
"Add to Wishlist","Añadir a Lista de Deseos"
"Any","Cualquiera"
"Applied Coupon","Cupón aplicado"
"Bestsellers","Más vendidos"
"Bought from wishlists","Comprado desde la lista de artículos de interés"
"Carts","Carritos"
"Coupons","Cupones"
"Created At","Creado el"
"Customer","Cliente"
"Customer Name","Nombre del cliente"
"Customer Tags","Etiquetas del cliente"
"Customers","Clientes"
"Customers Report","Informe de los clientes"
"Customers Reviews","Opiniones de Usuarios"
"Customers Tags","Etiquetas de los clientes"
"Customers by number of orders","Clientes por número de Pedidos"
"Customers by orders total","Clientes por total de Pedidos"
"Customers that have wishlist: %s%","Clientes que tienen lista de artículos de interés: %s%"
"Dashboard","Panel de administración"
"Description","Descripción"
"Detail","Detalle"
"Email","Correo electrónico"
"First Name","Nombre"
"From","Desde"
"Guest","Invitado"
"Hits","Visitas"
"IP Address","Dirección de IP"
"Items in Cart","Artículos en el carrito"
"Last Name","Apellido"
"Last Review","Ultima opinión"
"Low stock","Existencia baja"
"Most Viewed","Más visto"
"Name","Nombre"
"New Accounts","Nuevas cuentas"
"Number Added","Número agregado"
"Number Fulfilled","Número cumplido"
"Number Of Reviews","Número de opiniones"
"Number Purchased","Número comprado"
"Number Viewed","Número visto"
"Number of Items","Número de artículos"
"Number of New Accounts","Número de nuevas cuentas"
"Number of Reviews","Número de opiniones"
"Number of Total Tags","Número total de etiquetas"
"Number of Unique Tags","Número de etiquetas únicas"
"Number of Views","Número de vistas"
"Number of items bought from a wishlist: %s","Número de artículos comprados desde una lista de artículos de interés: %s"
"Number of times wishlists have been shared (emailed): %s","N&uacute;mero de veces que las listas de art&iacute;culos de inter&eacute;s fueron compartidas (enviadas por correo): %s"
"Number of wishlist conversions: %s","Número de conversiones de listas de artículos de interés: %s"
"Number of wishlist referrals: %s","Número de referidos de listas de artículos de interés: %s"
"Number of wishlists: %s","Número de listas de artículos de interés: %s"
"Order Status","Estado del Pedido"
"Orders","Pedidos"
"Out of stock","Fuera de existencia"
"Period","Período"
"Poducts Report","Informe de los productos"
"Popular Tags","Etiquetas populares"
"Popularity","Popularidad"
"Price","Precio"
"Product Name","Nombre del producto"
"Product Reviews","Comentarios del producto "
"Product SKU","C&oacute;digo del producto"
"Product Tags","Etiquetas del producto"
"Products","Productos"
"Products Report","Informe de los productos"
"Products Reviews","Comentarios de los productos"
"Products Tags","Etiquetas de productos"
"Products in carts","Productos en carritos"
"Quantity Ordered","Cantidad pedida"
"Quantity of Items","Cantidad de artículos"
"Recently Compared Products","Productos comparados recientemente"
"Recently Viewed","Visto recientemente"
"Recently Viewed Products","Productos vistos recientemente"
"Recently Viewed/Compared Products","Productos vistos/comparados recientemente"
"Refunds","Reembolsos"
"Reports","Informes"
"Results","Resultados"
"Revenue","Ingresos"
"Review","Opinión"
"Reviews","Opiniones"
"Reviews for %s","Opiniones para %s"
"Sales Report","Informe de ventas"
"Search Query","Consulta de búsqueda"
"Search Terms","Términos de  búsqueda"
"Shipping","Envíos"
"Shopping Cart","Carrito de compras"
"Shopping Cart Price Rule","Regla de precios del carrito de compras"
"Show for Current","Mostrar para el actual"
"Stock Qty","Cantidad de existencias"
"Submitted In","Enviado en"
"Submitted On","Enviado el"
"Tag","Etiqueta"
"Tag ""%s"" details","Detalle de etiqueta ""%s"""
"Tag Detail","Detalle de la etiqueta"
"Tag Name","Nombre de la etiqueta"
"Tags submitted to %s","Etiquetas enviadas a %s"
"Tax","Impuestos"
"To","hasta"
"Total Tags","Total de etiquetas"
"Total invoiced","Total facturado"
"Total refunded","Total reembolsado"
"Updated At","Actualizado el"
"Visible In","Visible en"
"Wishlist Report","Informe de la lista de artículos de interés"
"Wishlist vs. Regular Order","Lista de artículos de interés vs. Pedido habitual"
"Wishlists","Lista de artículos de interés"
"Yes","Sí"
"Your Recently Compared","Comparados recientemente"
"Your Recently Viewed","Vistos recientemente"
