"%d Review(s)","%d Opinion(es)"
"%s Review(s)","%s Opinion(es)"
"(Posted on %s)","(Realizado el %s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Review","Agregar una nueva opini&oacute;n"
"Add Your Review","Agregar su opini&oacute;n"
"Administrator","Administrador"
"All Reviews","Todas las opiniones"
"Approved","Aprovado"
"Are you sure you want to do this?","Est&aacute; seguro de que quiere hacer esto?"
"Average Customer Rating","Promedio de la calificaci&oacute;n de los clientes"
"Average Customer Rating:","Promedio de la calificaci&oacute;n de los clientes:"
"Back","Volver atrás"
"Back to My Reviews","Volver a Mis opiniones"
"Back to Product Reviews","Volver a las Opiniones del producto"
"Be the first to review this product","Sea el primero en opinar sobre este producto"
"Created On","Creado el"
"Customer","Cliente"
"Customer Reviews","Opiniones del cliente"
"Customers Reviews","Opiniones de Usuarios"
"Delete","Borrar"
"Delete Review","Borrar la opini&oacute;n"
"Detailed Rating","Calificaci&oacute;n detallada"
"Edit Review '%s'","Editar la opini&oacute;n '%s'"
"Guest","Invitado"
"How do you rate this product?","C&oacute;mo califica a este producto?"
"My Product Reviews","Mis opiniones de productos"
"My Recent Reviews","Mis opiniones recientes"
"Name","Nombre"
"New Review","Nueva opini&oacute;n"
"Nickname","Apodo"
"Pending","Pendiente"
"Pending Reviews","Opiniones pendientes"
"Please select a product","Por favor, seleccione un producto"
"Please select one of each of the ratings above","Por favor, seleccione una de las calficaciones de arriba"
"Posted By","Realizado por"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del producto"
"Product Rating","Calificaci&oacute;n del producto"
"Product Rating:","Calificaci&oacute;n del producto:"
"Product Review (submitted on %s):","Opini&oacute;n del producto (enviada el %s):"
"Product Reviews","Comentarios del producto "
"Product SKU","C&oacute;digo del producto"
"Products Reviews","Comentarios de los productos"
"Qty","Ctdad"
"Rating:","Calificaci&oacute;n:"
"Review","Opinión"
"Review Details","Detalles de la opini&oacute;n"
"Review by %s","Opin&oacute; %s"
"Reviews","Opiniones"
"SKU","Código"
"Save Review","Guardar la opini&oacute;n"
"Status","Estado"
"Submit Review","Enviar opini&oacute;n"
"Summary Rating","Calificaci&oacute;n sumaria"
"Summary of Review","Resumen de la opini&oacute;n"
"Summary of Your Review","Resumen de su opini&oacute;n"
"Type","Tipo"
"View All Reviews","Ver todas las opiniones"
"View Details","Ver los detalles"
"Visible In","Visible en"
"Write Your Own Review","Escriba su propia opini&oacute;n"
"You have submitted no reviews.","Usted no ha enviado opiniones."
"Your Rating:","Su calificaci&oacute;n:"
"Your Review (submitted on %s):","Su opini&oacute;n (realizada el %s):"
