"Actions","Acciones"
"Active","Activo"
"Add New Rule","Añadir nueva regla"
"Apply","Aplicar"
"Apply Rules","Aplicar las reglas"
"Attribute Set","Conjunto de atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regla de precio de catálogo"
"Catalog Price Rules","Catálogo Normas sobre precios"
"Category","Categoría"
"Conditions","Condiciones"
"Conditions Combination","Combinación de condiciones"
"Customer Groups","Grupos de cliente"
"Date From","Fecha desde"
"Date To","Hasta la fecha"
"Description","Descripción"
"Discount Amount","Monto de descuento"
"Edit Rule","Editar regla"
"Expiration Date","Fecha de vencimiento"
"General Information","Información general"
"ID","Número de Identificación (ID)"
"Inactive","Inactivo"
"New Rule","Nueva regla"
"No","No 	"
"Options","Opciones"
"Priority","Prioridad"
"Product Attribute","Atributos del artículo"
"Promotions","Promociones"
"Rule Information","Información sobre la regla"
"Rule Name","Nombre de la regla"
"Save and Apply","Guardar y aplicar"
"Save and Continue Edit","Guardar y continuar editando"
"Start Date","Fecha de inicio"
"Status","Estatus"
"This rule no longer exists.","Esta regla ya no existe."
"Type","Tipo"
"Website","Página web"
"Websites","Sitios web"
"Wrong rule specified.","Regla especificada incorrecta."
"Yes","Sí"
