" Copy","Copia"
"Action","Acción"
"Add New Template","Añadir Nueva Plantilla"
"Add to Queue","Añadir a la cola"
"Allow Guest Subscription","Permitir visitantes a subscribirse"
"Are you sure that you want to strip all tags?","¿Realmente quiere desaplicar todas las etiquetas?"
"Back","Volver"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Confirmation Email Template","Plantilla del correo electrónico de confirmación"
"Convert to Plain Text","Convertir a texto sin formato"
"Create Newsletter Template","Crear plantilla para el boletín de informativo"
"Customer","Cliente"
"Customer First Name","Nombre del cliente"
"Customer Last Name","Apellido del cliente"
"Date Added","Fecha de Creación"
"Delete","Borrar"
"Delete Selected Problems","Eliminar problemas seleccionados"
"Delete Template","Eliminar plantilla"
"Do you really want to cancel the queue?","¿Realmente quiere cancelar la cola?"
"Edit Newsletter","Editar el boletín informativo"
"Edit Newsletter Template","Editar la plantilla para el boletín informativo"
"Edit Queue","Editar la cola de tareas"
"Edit Template","Editar la plantilla"
"Email","Correo electrónico"
"Enter your email address","Introduzca su dirección de correo electrónico"
"Error Code","Código de error"
"Error Text","Texto de error"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Siga este enlace para anular su suscripción <!-- Esta etiqueta es para el enlace de anulación--><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Visitante"
"ID","Número de Identificación (ID)"
"Message","Mensaje"
"Need to Confirm","Debe confirmar"
"New Newsletter Template","Nueva plantilla para el boletín informativo"
"New Template","Nueva plantilla"
"Newsletter","Boletín de noticias"
"Newsletter Message Preview","Vista previa del boletín informativo"
"Newsletter Problem Reports","Informes de problemas del boletín informativo"
"Newsletter Queue","Cola del boletín informativo"
"Newsletter Styles","Estilos del boletín informativo"
"Newsletter Subscribers","Suscriptores del boletín informativo"
"Newsletter Subscription","Suscripción al boletín informativo"
"Newsletter Subscriptions","Suscripciones al boletín informativo"
"Newsletter Templates","Plantillas del boletín informativo"
"Newsletter subscription confirmation","Confirmación de la suscripción al boletín informativo"
"Newsletter subscription success","Ha suscrito con éxito nuestro boletín informativo"
"Newsletter unsubscription success","Ha cancelado con éxito su suscripción al boletín informativo"
"No Templates Found","No se encontraron plantillas"
"Not Activated","No activado"
"Not Sent","No enviado"
"Pause","Pausa"
"Paused","Pausado"
"Please enter a valid email address.","Por favor, ingrese una dirección de correo electrónico válida."
"Preview","Vista previa"
"Preview Template","Vista previa de la plantilla"
"Processed","Procesado"
"Queue Date Start","Fecha de inicio de la cola de tareas"
"Queue Information","Información de la cola de tareas"
"Queue Start","Inicio de la cola de tareas"
"Queue Subject","Asunto de la cola de tareas"
"Recipients","Recipientes"
"Reset","Restablecer"
"Resume","Reanudar"
"Return HTML Version","Devolver versión HTML"
"Save As","Guardar como"
"Save Newsletter","Guardar el boletín informativo"
"Save Template","Guardar la plantilla"
"Save and Resume","Guardar y reanudar"
"Security","Seguridad"
"Sender","Remitente"
"Sender Email","Correo electrónico del remitente"
"Sender Name","Nombre del remitente"
"Sending","Enviando"
"Sent","Enviado"
"Sign Up for Our Newsletter:","Inscríbase a nuestro boletín de noticias:"
"Start","Comenzar"
"Status","Estatus"
"Store","Tienda"
"Store View","Vista de la tienda"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe","Suscribirse"
"Subscribed","Suscrito"
"Subscriber","Suscriptor"
"Subscribers","Suscriptores"
"Subscribers From","Suscriptores de"
"Subscription Options","Opciones de suscripción"
"Success Email Sender","Remitente de correo electrónico para operación exitosa"
"Success Email Template","Plantilla de correo electrónico para operación exitosa"
"Template Content","Contenido de plantilla"
"Template Information","Información de la plantilla"
"Template Name","Nombre de plantilla"
"Template Styles","Estilos de plantilla"
"Template Subject","Asunto de la plantilla"
"Template Type","Tipo de plantilla"
"Thank you for your subscription.","Gracias por suscribirse."
"This email address is already assigned to another user.","Esta dirección de correo ya se asignó a otro usuario."
"Type","Tipo"
"Unconfirmed","Sin confirmar"
"Unsubscribe","Desuscribirse"
"Unsubscribe Selected","Cancelar las suscripciones seleccionadas"
"Unsubscribed","Desuscrito"
"Unsubscription Email Sender","Remitente de correo electrónico para cancelar la suscripción"
"Unsubscription Email Template","Plantilla de correo electrónico para cancelar la suscripción"
"View Newsletter","Ver boletín informativo"
"Website","Página web"
"Your subscription has been confirmed.","Su suscripción ha sido confirmada."
