"API Login ID","ID de acceso de la API"
"Accepted Currency","Moneda Aceptada"
"Authorize Only","Sólo Autorizar"
"Authorize and Capture","Autorizar y Capturar"
"Cancel","Cancelar"
"Credit Card Types","Tipos de tarjeta de crédito"
"Credit Card Verification","Verificación de la tarjeta de crédito"
"Debug","Depurar"
"Email Customer","Correo electrónico del Cliente"
"Enabled","Habilitado"
"Invalid amount for capture.","Monto inválido para captura."
"Invalid amount for refund.","Monto inválido para reembolso."
"Maximum Order Total","Total máximo del pedido"
"Merchant's Email","Correo electrónico del vendedor"
"Minimum Order Total","Total mínimo del pedido"
"New Order Status","Nuevo estado del pedido"
"Payment Action","Acción de pago"
"Payment capturing error.","Error en la captura del pago."
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Payment refunding error.","Error de reembolso de pago."
"Payment voiding error.","Error de anulación de pago."
"Sort Order","Orden de aparición"
"Test Mode","Modo de prueba"
"Title","Título"
"Transaction Key","Clave de transacción"
"authorize","autorizar"
"authorize and capture","autorizar y registrar"
"capture","captura"
"failed","fallado"
"refund","reembolso"
"successful","correcto"
"void","vacío"
