"Alert Email Sender","Alerta de correo electrónico del remitente"
"Alert subscription has been saved.","Alerta de suscripción guardada."
"Allow Alert When Product Comes Back in Stock","Avisar cuando el artículo vuelva a estar en existencias."
"Allow Alert When Product Price Changes","Permitir aviso cuando el precio del artículo cambie"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"Frequency","Frecuencia"
"Price Alert Email Template","Plantilla de correo eléctronico de alerta de precio"
"Price:","Precio:"
"Product Alerts","Alertas de artículo"
"Product Alerts Run Settings","Configuración de la función de alertas de artículo"
"Product alerts Cron error","Error de cron de las alertas de artículo"
"Sign up for price alert","Incribirse para alerta de precio"
"Start Time","Hora de inicio"
"Stock Alert Email Template","Plantilla de correo electrónico de alerta de existencias"
"You will no longer receive price alerts for this product.","Usted no recibirá más alertas de precio para este artículo."
"The product was not found.","No se encontró el artículo."
"Unable to update the alert subscription.","Imposible actualizar la suscripción de alerta."
"Unsubscribe from all price alerts","Darse de baja de todas las alertas de precio"
"Unsubscribe from all stock alerts","Darse de baja de todas las alertas de existencias"
"You will no longer receive stock alerts for this product.","Usted no recibirá más alertas de existencias para este artículo."
"You will no longer receive stock alerts.","Usted no recibirá más alertas de existencias."
