"Add Option","Agregar opción"
"Attempt to add an invalid object","Inténto de añadir un objeto inválido"
"Attribute Code","Código de atributo"
"Attribute Label","Etiqueta de atributo"
"Attribute Properties","Propiedades de atributo"
"Attribute object is undefined","Objeto de campo indefinido"
"Attribute with the same code","Atributo con el mismo código"
"Catalog Input Type for Store Owner","Tipo de entrada de catálogo para el dueño de la tienda"
"Data integrity: No header row found for attribute","Integridad de datos: No se encontró el renglón de cabecera para el atributo"
"Date","Fecha"
"Decimal Number","Número decimal"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","El orden predeterminado del listado de artículos no existe en los listados de artículos disponibles."
"Default Value","Valor predeterminado"
"Default option value is not defined","Valor de opción predeterminado no está definido"
"Delete","Borrar"
"Dropdown","Lista desplegable"
"Email","Correo electrónico"
"Entity is not initialized","La entidad no está inicializada"
"Entity object is undefined","Objeto de entidad indefinido"
"Form Element with the same attribute","Formar elemento con el mismo atributo"
"Form Fieldset with the same code","Formar conjunto de campos con el mismo código"
"Form Type with the same code","Formar tipo con el mismo código"
"Frontend label is not defined","Etiqueta de portada no está definida"
"Input Validation for Store Owner","Validación de entrada para el dueño de la tienda"
"Integer Number","Número entero"
"Invalid alias, already exists in joint attributes","Alias inválido, ya existe en los atributos unidos."
"Invalid attribute name: %s","Nombre de atributo inválido: %s"
"Invalid attribute requested: %s","Atributo solicitado inválido: %s"
"Invalid attribute type","Tipo de atributo inválido"
"Invalid character encountered in increment ID: %s","Carácter inválido encontrado en incremento ID: %s"
"Invalid date","Fecha no válida"
"Invalid entity specified","Entidad especificada inválida"
"Invalid entity supplied: %s","Entidad suministrada inválida:%s"
"Invalid entity type","Tipo de entidad inválido"
"Invalid entity_type specified: %s","Entity_type especificado inválido: %s"
"Invalid foreign key","clave foránea inválida"
"Invalid joint fields","Campos combinados no válidos"
"Invalid store specified","Tienda especificada inválida"
"Joined field with this alias is already declared","Asociación de campo con este alias ya está declarado"
"Joint field or attribute expression with this alias is already declared","Ya se ha declarado un campo combinado o una expresión de atributos con este alias"
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) o números (0-9)"
"Loaded %d records","Cargado %d registros"
"Multiple Select","Selección múltiple"
"No","No 	"
"No options found in config node %s","No se encontraron opciones en el nodo de configuración %s"
"None","Ninguno"
"Not shared with other products","No se comparte con otros productos"
"Problem loading the collection, aborting. Error: %s","Problema al cargar la recopilación, abortando. Error: %s"
"Problem saving the collection, aborting. Error: %s","Problema al guardar la colección, abortar. Error: %s"
"Required","Requerido"
"System","Sistema"
"Text Area","Área de texto"
"Text Field","Campo de texto"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor exclusivo (no compartido con otros artículos)"
"Unknown parameter","Parámetro desconocido"
"Values Required","Valor obligatorio"
"Wrong attribute group ID","Grupo de atributo ID erróneo"
"Wrong attribute set ID","Configuración de atributo ID erróneo"
"Wrong entity ID","Entidad ID errónea"
"Yes","Sí"
"Yes/No","Sí/No"
