"%s - Discounts and Coupons","%s - Descuentos y Cupones"
"%s has reached a quantity of %s.","%s ha alcanzado la cantidad de  %s."
"%s's Wishlist","Lista de deseos %s"
"Cannot retrieve the wishlist","No se puedo obtener la lista de deseos"
"Catalog","Catálogo"
"Category Feeds","Categoría Feeds"
"Click for price","Haga click para ver precio"
"Comment: %s<br/>","Comentario: %s<br/>"
"Coupons/Discounts","Cupones/descuentos"
"Current Status: %s<br/>","Estado actual: %s<br/>"
"Customer Name: %s","Nombre del cliente: %s"
"Customer Order Status Notification","Notificación de estado de pedido del cliente"
"Details for %s #%s","Detalles para %s #%s"
"Discount","Descuento"
"Discount (%s)","Descuento (%s)"
"Enable RSS","Activar RSS"
"Error in processing xml. %s","Error al procesar xml. %s"
"From:","Desde:"
"Get Feed","Obtener fuente"
"Gift Message","Mensaje regalo"
"Grand Total","Total general"
"Low Stock Products","Artículos con baja cantidad en inventario"
"Message:","Mensaje:"
"Miscellaneous Feeds","Fuentes varias"
"New Orders","Nuevos pedidos"
"New Products","Nuevos artículos"
"New Products from %s","Productos nuevos desde %s"
"Notified Date: %s<br/>","Fecha de notificación: %s<br/>"
"Order","Encargar"
"Order # %s Notification(s)","Notificación del pedido # %s "
"Order #%s created at %s","Pedido #%s creado en %s"
"Pending product review(s)","Reseñas pendientes para el artículo"
"Product: ""%s"" review By: %s","Producto: ""%s"" revisado por: %s"
"Product: <a href=""%s"">%s</a> <br/>","Producto: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Productos etiquetados con %s"
"Purchased From: %s","Comprado desde: %s"
"RSS Feeds","Fuentes RSS"
"Review: %s <br/>","Reseña: %s <br/>"
"Rss Config","Configuración de RSS"
"Shipping &amp; Handling","Gastos de envío"
"Special Products","Artículos especiales"
"Store: %s <br/>","Tienda: %s <br/>"
"Summary of review: %s <br/>","Resumen de la reseña: %s <br/>"
"Tags Products","Estiquetas de productos"
"Tax","Impuestos"
"There are no Rss Feeds","No hay Rss Feeds"
"To:","A:"
"Top Level Category","Categoría de nivel superior"
"Wishlist","Lista de deseos"
"click <a href=""%s"">here</a> to view the review","De clic <a href=""%s"">aquí</a> para visualizar su reseña"
