"Actions","Acciones"
"Active","Activo"
"Add New Rule","Añadir nueva regla"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"Apply","Aplicar"
"Apply To","Aplicar a"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar la regla sólo si las siguientes condiciones se cumplen (dejar en blanco para todos los productos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar la regla sólo a los artículos del carrito que cumplan las siguientes condiciones (dejar en blanco para todos los artículos)"
"Apply the rule to cart items matching the following conditions","Aplicar la regla a los artículos del carro que cumplan las siguientes condiciones"
"Apply to Shipping Amount","Aplíquese a la cantidad de envío"
"Are you sure you want to delete the selected coupon(s)?","¿Está seguro de que quiere eliminar el cupón/los cupones seleccionado(s)?"
"Auto Generated Specific Coupon Codes","Códigos de cupones específicos generados automáticamente"
"Buy X get Y free (discount amount is Y)","Compre X y llévese Y gratis (la cantidad descontada es Y)"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Can't acquire coupon.","No se puede adquirir el cupón."
"Cart Attribute","Atributos del carrito"
"Catalog","Catálogo"
"Code Format","Código de formato"
"Code Length","Código de longitud"
"Code Prefix","Código de prefijo"
"Code Suffix","Código de sufijo"
"Conditions","Condiciones"
"Conditions combination","Combinación de condiciones"
"Coupon","Cupón"
"Coupon Code","Código de cupón"
"Coupon Qty","Código de cantidad"
"Coupon with the same code","Cupón con el mismo código"
"Created On","Creado"
"Customer Groups","Grupos de Clientes"
"Dash Every X Characters","Guión cada ""X"" caracteres"
"Date Expire","Fecha de vencimiento"
"Date Start","Fecha de inicio"
"Default Label","Etiqueta (predeterminada)"
"Default Rule Label for All Store Views","Etiqueta normativa para todas las vistas de tienda (predeterminada)"
"Description","Descripción"
"Discount Amount","Monto de descuento"
"Discount Qty Step (Buy X)","Paso de cantidad descontada (comprar X)"
"Edit Rule","Editar regla"
"Edit Rule '%s'","Editar Reglas '%s'"
"Excluding prefix, suffix and separators.","Excluyendo prefijos, sufijos y separaciones"
"FOUND","ENCONTRADO"
"Fixed amount discount","Monto fijo de descuento"
"Fixed amount discount for whole cart","Descuento de cantidad fija para el carro completo"
"For matching items only","Sólo para artículos correspondientes"
"For shipment with matching items","Para envíos con artículos correspondientes"
"Free Shipping","Transporte gratuito"
"From Date","Desde la fecha"
"General Information","Información general"
"Generate","Generar"
"ID","Identificador"
"If empty no separation.","Si está vacío no hay separación."
"Inactive","Inactivo"
"Labels","Etiquetas"
"Manage Coupon Codes","Administrar códigos de cupones"
"Maximum Qty Discount is Applied To","Se aplica la máxima cantidad descontada"
"NOT FOUND","NO ENCONTRADO"
"NOT LOGGED IN","NO CONECTADO"
"New Rule","Nueva regla"
"No","No 	"
"No Coupon","Sin cupón"
"Number of Uses","Número de usos"
"Numeric","Numérico"
"Payment Method","Método de pago"
"Percent of product price discount","Porcentaje de descuento en el precio del artículo"
"Period","Período"
"Price in cart","Precio del carro"
"Priority","Prioridad"
"Product attribute combination","Combinación de atributos de artículo"
"Products subselection","Subselección de artículos"
"Promotions","Promociones"
"Public In RSS Feed","Publicar feed RSS"
"Quantity in cart","Cantidad en el carrito"
"Row total in cart","Total de filas en el carrito"
"Rule Information","Información sobre la regla"
"Rule Name","Nombre de la regla"
"Rule is not defined","Regla no definida"
"Save and Continue Edit","Guardar y continuar editando"
"Shipping Country","País de envío"
"Shipping Method","Método de envío"
"Shipping Postcode","Código postal"
"Shipping Region","Región de envío"
"Shipping State/Province","Estado/Provincia para el despacho"
"Shopping Cart Price Rule","Regla de Precio de Carrito de Compra"
"Shopping Cart Price Rules","Reglas de Precio de Carrito de Compra"
"Special Price","Precio especial"
"Specific Coupon","Cupón específico"
"Status","Estatus"
"Store View Specific Labels","Etiquetas específicas de la vista de tienda"
"Subtotal Amount","Cantidad  del Subtotal"
"This rule no longer exists.","Esta regla ya no existe."
"Times Used","Tiempos utilizados"
"To Date","Para Fecha"
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"Total Amount","Cantidad total"
"Total Items Quantity","Cantidad total de artículos"
"Total Weight","Peso total"
"Update prices using the following information","Actualizar precios usando la siguiente información"
"Update product's %s %s: %s","Actualizar productos %s %s: %s"
"Update the Product","Actualizar el artículo"
"Use Auto Generation","Utilizar generación automática"
"Used","Utilizado"
"Uses per Coupon","Usos por cupón"
"Uses per Customer","Usos por cliente"
"Website","Página web"
"Websites","Sitios web"
"Yes","Sí"
"total amount","Cantidad total"
"total quantity","Suma total"
