"-- Please Select --","--Seleccione--"
"Add New Class","Añadir nueva clase fiscal"
"Add New Tax Rate","Añadir nueva tasa impositiva"
"Add New Tax Rule","Añadir nueva regla fiscal"
"After Discount","Después de descuento"
"Apply Customer Tax","Aplicar tasa de cliente"
"Apply Discount On Prices","Aplicar el descuento sobre los precios"
"Apply Tax On","Aplicar impuestos sobre"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Back","Atrás"
"Before Discount","Antes de descuento"
"Calculation Settings","Ajustes de cálculo"
"Catalog Prices","Precios de catálogo"
"Class Name","Nombre de Clase"
"Code","Código"
"Country","País"
"Custom price if available","Precio individual si está disponible"
"Customer Tax Class","Clase de impuestos del cliente"
"Customer Tax Class Information","Información sobre impuestos del cliente"
"Customer Tax Classes","Clases de impuestos del cliente"
"Default Country","País por defecto"
"Default Post Code","Código postal (predeterminado)"
"Default State","Estado federado (predeterminado)"
"Default Tax Destination Calculation","Cálculo de impuestos basado en (predeterminado)"
"Delete Class","Eliminar Clase"
"Delete Rate","Eliminar índice"
"Delete Rule","Eliminar Regla"
"Display Full Tax Summary","Mostrar Resumen de impuestos"
"Display Prices","Mostrar precios"
"Display Product Prices In Catalog","Mostrar precios de los artículos en catálogo"
"Display Shipping Amount","Mostrar importe de envío"
"Display Shipping Prices","Mostrar precios de envío"
"Display Subtotal","Mostrar Subtotal"
"Display Zero Tax Subtotal","Mostrar el subtotal aunque sea cero"
"Edit Class","Modificar Clase"
"Edit Class '%s'","Modificar Clase '%s'"
"Edit Rule","Editar regla"
"Edit Tax Rate","Editar indicador de impuesto"
"Enable Cross Border Trade","Permitir operaciones transfronterizas"
"Excl. Tax","Impuestos no Incluídos"
"Excl. Tax:","Excl. Impuestos:"
"Excluding Tax","Impuestos no incluídos"
"Export Tax Rates","Exportar tasas de impuestos"
"Grand Total (Excl. Tax)","Total general (sin impuestos)"
"Grand Total (Excl.Tax)","Total (impuestos no incluídos)"
"Grand Total (Incl. Tax)","Total general (con impuestos)"
"Grand Total (Incl.Tax)","Total (impuestos incluídos)"
"Grand Total Excl. Tax","Total sin incluir impuestos"
"Grand Total Incl. Tax","Total incluyendo impuestos"
"Import / Export Tax Rates","Importar / Exportar Tasas de Impuestos"
"Import Tax Rates","Importar tasas de impuestos"
"Inc. Tax","Impuestos incluídos"
"Incl. Tax","Impuestos incluidos"
"Incl. Tax:","Incl. Impuestos:"
"Including Tax","Impuestos incluídos"
"Including and Excluding Tax","Inclusión y exclusión de impuestos"
"Invalid file format upload attempt","Intento de subir un formato de archivo inválido"
"Invalid file upload attempt","Intento de subida de un archivo no válido"
"Manage Customer Tax Classes","Gestión de Clientes para Clases de Impuestos "
"Manage Product Tax Classes","Gestión de Producto de Clases de Impuestos "
"Manage Tax Rates","Gestión de las tasas de impuestos"
"Manage Tax Rules","Gestión de las normas fiscales"
"Manage Tax Zones & Rates","Gestión de Zonas y Tasas de Impuestos"
"Name","Nombre"
"New Class","Clase Nueva"
"New Rule","Nueva regla"
"New Tax Rate","Nueva tarifa de impuesto"
"No","No 	"
"None","Ninguno"
"One of the country has invalid code.","Uno de los países tiene un código inválido."
"Orders, Invoices, Credit Memos Display Settings","Ajustes de visualización para pedidos, facturas y facturas rectificativas"
"Original price only","Sólo precio original"
