"* Required Fields","* Kohustuslikud väljad"
"Authorize","Autoriseeri"
"Close","Sulge"
"Created At","Loodud"
"Customer","Klient"
"Delete","Kustuta"
"Disable","Keela"
"Disabled","Keelatud"
"Edit","Muuda"
"Email","E-post"
"Email Address","E-posti aadress"
"Enable","Luba"
"Enabled","Lubatud"
"Key","Võti"
"Login","Sisene"
"Name","Nimi"
"Password","Salasõna"
"Permissions","Õigused"
"Role Name","Rolli nimi"
"Save","Salvesta"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Status","Staatus"
"System","Süsteem"
"User ID","Kasutaja ID"
"User Name","Kasutajatunnus"
