"-- Please Select --","-- Vali --"
"1 column","1 veerg"
"2 columns with left bar","2 veergu vasakpoolse ribaga"
"2 columns with right bar","2 veergu parempoolse ribaga"
"3 columns","3 veergu"
"About the calendar","Kalendrist"
"Account","Konto"
"Allow","Luba"
"Close","Sulge"
"Close Window","Sulge aken"
"Default welcome msg!","Vaikimisi tervitus!"
"Empty","Tühi"
"Go Today","Mine täna"
"Left Column","Vasak veerg"
"Menu","Menüü"
"Next","Järgmine"
"Page:","Leht:"
"Previous","Eelmine"
"Report All Bugs","Teavita leitud vigadest"
"Right Column","Parem veerg"
"Search","Otsi"
"Show","Näita"
"View All","Vaata kõiki"
"per page","lehe kohta"
